0	ci	ci	1
1	sono	sono	1
2	delle	delle	1
3	università	università	1
4	sì	sì	1
5	no	no	1
6	_	o	0
7	_	più	0
8	_	nella	0
9	_	capitale	0
10	le	_	0
11	_	l'	0
12	università	università	1
13	è	è	1
14	_	un	0
15	_	po'	0
16	proprio	_	0
17	_	più	0
18	in	in	1
19	città	città	1
20	_	okay	0
21	_	x	0
22	_	okay	0
23	_	okay	0
24	ok	_	0
25	_	okay	0
26	ok	_	0
27	_	e	0
28	ok	_	0
29	_	s-	0
30	in	in	1
31	capitale	capitale	1
32	in	in	1
33	capitale	capitale	1
34	ok	_	0
35	_	okay	0
36	e	e	1
37	se	se	1
38	devi	devi	1
39	e	_	0
40	quindi	_	0
41	va	_	0
42	_	x	0
43	be'	_	0
44	_	vabbè	0
45	adesso	adesso	1
46	faccio	faccio	1
47	finire	finire	1
48	qui	_	0
49	detali	_	0
50	così	_	0
51	che	_	0
52	_	sì	0
53	ci	_	0
54	_	x	0
55	vengono	_	0
56	_	sta	0
57	vengono	_	0
58	_	andando	0
59	abbastanza	abbastanza	1
60	bene	bene	1
61	no	no	1
62	sì	sì	1
63	_	proviamo	0
64	per	_	0
65	_	a	0
66	non	_	0
67	_	vedere	0
68	vederse	_	0
69	_	se	0
70	allora	allora	1
71	dimmi	dimmi	1
72	la	la	1
73	capitale	capitale	1
74	è	è	1
75	molto	molto	1
76	grande	grande	1
77	la	la	1
78	capitale	capitale	1
79	è	è	1
80	molto	molto	1
81	grande	grande	1
82	_	eh	0
83	_	trecentosei	0
84	_	virgola	0
85	_	quattro	0
86	_	eh	0
87	3064	_	0
88	_	chilometri	0
89	km²	_	0
90	_	quadrati	0
91	ok	_	0
92	_	okay	0
93	e	e	1
94	popolazione	popolazione	1
95	_	eh	0
96	14	_	0
97	_	quattordici	0
98	milioni	milioni	1
99	_	eh	0
100	_	quattordici	0
101	_	punto	0
102	144	_	0
103	_	quattro	0
104	milioni	milioni	1
105	cioè	cioè	1
106	bologna	bologna	1
107	è	è	1
108	350000	_	0
109	_	trecentocinquantamila	0
110	persone	persone	1
111	_	da	0
112	_	trecentocinquantamila	0
113	beh	_	0
114	_	eh	0
115	350000	_	0
116	_	{ride}	0
117	ma	ma	1
118	devo	devo	1
119	essere	essere	1
120	quanto	quanto	1
121	grande	grande	1
122	bologna	bologna	1
123	non	non	1
124	so	so	1
125	di	di	1
126	_	chilometri	0
127	km²	_	0
128	_	quadrati	0
129	però	però	1
130	decisamente	decisamente	1
131	più	più	1
132	grande	grande	1
133	_	{ride}	0
134	ma	ma	1
135	infatti	infatti	1
136	_	mi	0
137	_	eh	0
138	mi	mi	1
139	sembrava	sembrava	1
140	impossibile	impossibile	1
141	ma	ma	1
142	il	il	1
143	ragazzo	ragazzo	1
144	ieri	ieri	1
145	e	_	0
146	_	insisteva	0
147	guarda	guarda	1
148	che	che	1
149	bologna	bologna	1
150	_	infatti	0
151	è	è	1
152	_	centoqua-	0
153	_	centoquaranta	0
154	_	eh	0
155	_	sì	0
156	_	centoquaranta	0
157	_	virgola	0
158	140	_	0
159	_	nove	0
160	1409	_	0
161	_	chilometri	0
162	km²	_	0
163	_	quadrati	0
164	che	che	1
165	_	se	0
166	separiamo	_	0
167	_	parliamo	0
168	fino	fino	1
169	a	a	1
170	da	da	1
171	_	mh	0
172	dove	dove	1
173	di	di	1
174	pilastro	pilastro	1
175	_	mh	0
176	_	mh	0
177	fino	fino	1
178	a	a	1
179	_	di	0
180	_	mh	0
181	tipo	tipo	1
182	casalecchio	casalecchio	1
183	la	la	1
184	barca	barca	1
185	_	sì	0
