whisper	human	match	error
va be'	vabbé	0	grafia
era	era	1	
leggera	leggera	1	
però	però	1	
_	alla	0	MISS
_	fi-	0	interrupted
no no no	nonono	0	grafia
è	è	1	
VERO	VERO	1	
_	sì	0	MISS
_	{P}	0	nonverbal
non	non	1	
era	era	1	
pesantissima	pesantissima	1	
per	per	1	
niente	niente	1	
_	ha-	0	MISS
l'unica	_	0	ADD
_	unica	1	
cosa	cosa	1	
ho	ho	1	
esagerato	esagerato	1	
un	un	1	
po'	po'	1	
con	con	1	
_	l'	1	
l'olio	_	1	
_	olio	1	
forse	forse	1	
_	però	0	MISS
ma	ma	1	
_	nell'	1	
nell'impasto	_	1	
_	impasto	1	
no	no	1	
fuori	fuori	1	
fuori	fuori	1	
_	{P}	0	nonverbal
_	nell'	1	
_	impasto	1	
nell'impasto	_	1	
ci	ce	0	approssimazione
_	ne	0	MISS
l'ho	_	0	ADD
_	ho	1	
messo	messo	1	
il	il	1	
giusto	giusto	1	
però	però	1	
in	in	1	
padella	padella	1	
_	nella	0	MISS
mi	_	0	ADD
_	padella	0	MISS
che	_	0	ADD
_	x	0	unintelligible
ha	ha	1	
detto	detto	1	
metti	metti	1	
_	quello	0	MISS
_	là	0	MISS
_	l'	1	
l'olio	_	1	
_	olio	1	
da	da	1	
friggere	friggere	1	
così	così	1	
vengono	vengono	1	
meglio	meglio	1	
ho	ho	1	
detto	detto	1	
ok	ok	1	
_	{P}	0	nonverbal
e	e	1	
ho	ho	1	
fatto	fatto	1	
però	però	1	
praticamente	praticamente	1	
_	ho	0	MISS
_	f	1	
_	pure	0	MISS
ho	ho	1	
messo	messo	1	
tutto	tutto	1	
il	il	1	
fondo	fondo	1	
della	della	1	
padella	padella	1	
era	era	1	
pieno	pieno	1	
di	di	1	
olio	olio	1	
io	o	0	approssimazione
volevo	volevo	1	
mettere	metterne	0	approssimazione
un	un	1	
filo	filo	1	
_	sai	0	MISS
per	per	1	
farle	farle	1	
venire	venire	1	
mezzi	mezzi	1	
tra	tra	1	
_	{P}	0	nonverbal
_	cioè	0	MISS
cotti	cotti	1	
nella	nella	1	
padella	padella	1	
unta	unta	1	
invece	invece	1	
_	{P}	0	nonverbal
i	i	1	
primi	primi	1	
sono	sono	1	
venuti	venuti	1	
un	un	1	
po'	po'	1	
deep	deep	1	
fried	fried	1	
quasi	quasi	1	
_	{ride}	0	nonverbal
_	fritti	0	MISS
beh	beh	1	
oggi	oggi	1	
abbiamo	abbiamo	1	
fatto	fatto	1	
colazione	colazione	1	
con	co	0	approssimazione
_	pa-	0	interrupted
pancake	pancake	1	
con	con	1	
nutella	nutella	1	
è	è	1	
rimasto	rimasto	1	
un	un	1	
altro	altro	1	
pancake	pancake	1	
se	se	1	
vuoi	vuoi	1	
_	u	0	MISS
_	ma	0	MISS
_	x	0	unintelligible
mangi	mangiati	0	err_flessione
tu	tu	1	
il	il	1	
pancake	pancake	1	
_	che	0	MISS
_	io	0	MISS
mangi	mangio	0	err_persona
il	il	1	
gelato	gelato	1	
_	che	0	MISS
_	ne	0	MISS
_	dici	0	MISS
_	{ride}	0	nonverbal
venedì	_	0	ADD
_	x	0	unintelligible
non	_	0	ADD
_	sto	0	MISS
è	_	0	ADD
_	pancake	0	MISS
VERO	_	0	ADD
_	stronzo	0	MISS
poi	poi	1	
è	è	1	
rimasto	rimas-	0	interrupted
poi	poi	1	
abbiamo	abbiamo	1	
mangiato	mangiato	1	
_	{P}	0	nonverbal
_	x	0	unintelligible
_	dalla	0	MISS
_	nonna	0	MISS
_	io	0	MISS
_	a	0	MISS
_	pranzo	0	MISS
_	ho	0	MISS
_	esagerato	0	MISS
4	quattro	1	
l'armonia	_	0	ADD
gelate	gelati	0	approssimazione
si	s'	0	elisione
sono	è	0	err_persona
mangiate	mangiato	0	err_genere
_	sto	0	MISS
_	puorc#	0	MISS
su	_	0	ADD
4	quattro	1	
questo	_	0	ADD
gelate	gelati	0	approssimazione
_	dai	0	MISS
_	{P}	0	nonverbal
non	non	1	
è	è	1	
_	ve-	0	interrupted
_	a	0	MISS
_	me	0	MISS
_	a	0	MISS
_	pa-	0	interrupted
_	a	0	MISS
_	parte	0	MISS
_	il	0	MISS
VERO	_	0	ADD
_	fatto	0	MISS
poi	_	0	ADD
_	che	0	MISS
abbiamo	abbiamo	1	
fatto	_	0	ADD
_	mangiato	0	MISS
la	la	1	
stessa	stessa	1	
quantità	_	1	
_	quantita	1	
di	di	1	
gelato	gelato	1	
tu	tu	1	
ne	ne	1	
hai	hai	1	
mangiati	mangiati	1	
di	di	1	
più	più	1	
no	no	1	
roberto	roberto	1	
hai	hai	1	
mangiato	mangiato	1	
il	il	1	
pan	pan	1	
di	di	1	
stelle	stelle	1	
hai	hai	1	
mangiato	mangiato	1	
quello	quello	1	
al	al	1	
caramello	caramello	1	
_	e	0	MISS
ne	ne	1	
hai	hai	1	
mangiato	mangiato	1	
un	un	1	
altro	altro	1	
no	no	1	
non	non	1	
l'ho	_	0	ADD
_	ho	1	
mangiato	mangiato	1	
un	un	1	
altro	altro	1	
_	{P}	0	nonverbal
_	ho	0	MISS
_	ma-	0	interrupted
_	spe-	0	interrupted
perché	perché	1	
non	non	1	
abbiamo	aveva	0	err_flessione
_	comprato	0	MISS
mangiato	_	0	ADD
quelli	quello	0	err_numero
_	ai	0	MISS
pan	pan	1	
di	di	1	
stelle	stelle	1	
che	che	1	
erano	erano	1	
buoni	buoni	1	
_	vabbé	0	MISS
_	sei	0	MISS
_	un	0	MISS
_	maiale	0	MISS
_	hai	0	MISS
_	mangiato	0	MISS
si	sì	0	grafia
_	e	0	MISS
pura	pure	0	err_categoria
tu	tu	1	
sei	sei	1	
un	un	1	
maiale	maiale	1	
però	però	1	
_	ti	0	MISS
_	sto	0	MISS
_	dicendo	0	MISS
hai	hai	1	
mangiato	mangiato	1	
un	_	0	ADD
po'	_	0	ADD
_	due	0	MISS
di	_	0	ADD
salsiccio	salsicce	0	err_genere
_	e	0	MISS
un	un	1	
sacco	sacco	1	
di	di	1	
friamenti	friarielli	0	parola sconosciuta
_	perché	0	MISS - ripetizione
