0	persone	persone	1
1	che	che	1
2	magari	magari	1
3	poi	_	0
4	voi	_	0
5	_	puoi	0
6	avete	_	0
7	_	aver	0
8	incontrato	incontrato	1
9	_	un	0
10	_	po'	0
11	_	bah	0
12	_	eh	0
13	_	{P}	0
14	_	sì	0
15	beh	_	0
16	_	cioè	0
17	è	è	1
18	sempre	sempre	1
19	pieno	pieno	1
20	di	di	1
21	persone	persone	1
22	che	che	1
23	fanno	fanno	1
24	le	_	0
25	_	emosina	0
26	emosine	_	0
27	_	sotto	0
28	sulle	_	0
29	_	i	0
30	portici	portici	1
31	_	mhmh	0
32	soprattutto	soprattutto	1
33	se	se	1
34	vieni	vieni	1
35	in	_	0
36	pendenza	_	0
37	_	indipendenza	0
38	ce	ce	1
39	ne	ne	1
40	sono	sono	1
41	diversi	diversi	1
42	_	sì	0
43	_	è	0
44	_	vero	0
45	anche	anche	1
46	sotto	sotto	1
47	i	i	1
48	portici	portici	1
49	di	di	1
50	via	via	1
51	_	{P}	0
52	_	di	0
53	_	viale	0
54	_	{P}	0
55	le	_	0
56	_	mh	0
57	masini	masini	1
58	perché	perché	1
59	io	io	1
60	passo	passo	1
61	spesso	spesso	1
62	di	di	1
63	lì	lì	1
64	_	ehm	0
65	però	però	1
66	a	a	1
67	parte	parte	1
68	insomma	insomma	1
69	persone	persone	1
70	che	che	1
71	fanno	fanno	1
72	le	_	0
73	_	l'	0
74	emosine	_	0
75	_	elemosina	0
76	si	si	1
77	_	mhmh	0
78	_	mh	0
79	_	ah	0
80	_	{P}	0
81	incontri	incontri	1
82	anche	anche	1
83	molte	molte	1
84	persone	persone	1
85	che	che	1
86	ti	ti	1
87	fermano	fermano	1
88	per	per	1
89	_	sì	0
90	_	{ride}	0
91	_	esatto	0
92	_	chiederti	0
93	_	di	0
94	fare	fare	1
95	_	beneficenza	0
96	veneficienza	_	0
97	_	{ride}	0
98	le	le	1
99	classiche	classiche	1
100	persone	persone	1
101	che	che	1
102	sono	sono	1
103	sotto	sotto	1
104	i	i	1
105	portici	portici	1
106	_	ehm	0
107	a	a	1
108	volte	volte	1
109	_	{P}	0
110	persone	persone	1
111	famose	famose	1
112	di	_	0
113	_	ogni	0
114	tanto	tanto	1
115	_	una	0
116	hanno	_	0
117	_	volta	0
118	incontrato	incontrato	1
119	piff	piff	1
120	ad	ad	1
121	esempio	esempio	1
122	_	ah	0
123	sì	sì	1
124	sì	sì	1
125	sì	sì	1
126	_	eh	0
127	_	so	0
128	_	che	0
129	_	era	0
130	in	in	1
131	un	un	1
132	hotel	hotel	1
133	che	che	1
134	è	è	1
135	lì	lì	1
136	su	su	1
137	di	_	0
138	_	via	0
139	indipendenti	_	0
140	_	indipendenza	0
141	anche	anche	1
142	i	_	0
143	cremonini	cremonini	1
144	dicono	dicono	1
145	che	che	1
146	si	si	1
147	aspettano	aspettano	1
148	eh	eh	1
149	non	non	1
150	ho	ho	1
151	ancora	ancora	1
152	incontrato	incontrato	1
153	i	i	1
154	cremonini	cremonini	1
155	_	{ride}	0
156	_	x	0
157	_	neanche	0
158	_	io	0
159	_	x	0
