whisper	human	match	error
per	per	1	
4	_	1	
_	quattro	1	
no	no	1	
un	un	1	
chilo	chilo	1	
e	e	1	
700	_	1	
_	settecento	1	
grammi	grammi	1	
di	di	1	
pasta	pasta	1	
eh	eh	1	
vabbè	vabbè	1	
perché	perché	1	
quello	quello	1	
il	il	1	
padre	padre	1	
se	se	1	
ne	ne	1	
mangia	mangia	1	
assai	assai	1	
io	io	1	
so	so	1	
_	con	0	MISS
_	due	0	MISS
il	il	1	
padre	padre	1	
va	va	1	
e	e	1	
_	ne	0	MISS - repetition
_	mangia	0	MISS - repetition
ne	ne	1	
mangia	mangia	1	
una	una	1	
scotella	scotella	1	
di	di	1	
insalata	insalata	1	
_	ah	0	MISS
con	con	1	
due	due	1	
vasetti	vasetti	1	
del	del	1	
pesto	pesto	1	
quello	quello	1	
la	là	0	grafia
barilla	barilla	1	
_	rico-	0	interrupted
_	eh	0	MISS
_	ma	0	MISS
_	grazie	0	MISS
_	settecento	0	MISS
_	grammi	0	MISS
_	di	0	MISS
_	pasta	0	MISS
ricotta	ricotta	1	
e	e	1	
noci	noci	1	
non	non	1	
contenta	contenta	1	
_	{P}	0	nonverbal
il	il	1	
fiordilatte	fiordilatte	1	
dentro	dentro	1	
non	non	1	
contenta	contenta	1	
_	{P}	0	nonverbal
i	il	0	err_numero
parmigiano	parmigiano	1	
sopra	sopra	1	
e	e	1	
lo	lo	1	
stona	scono	0	approssimazione
no	non	0	err_categoria
contento	contento	1	
mi	mi	1	
ha	ha	1	
detto	detto	1	
_	eh	0	MISS
se	se	1	
_	c'	1	
c'avevo	_	1	
_	avevo	1	
li	gli	0	err_categoria
non	_	0	ADD
_	x	0	unintelligible
ci	ci	1	
mettevo	mettevo	1	
pure	pure	1	
le	le	1	
noci	noci	1	
sopra	sopra	1	
no	no	1	
_	bravo	0	MISS
che	che	1	
bravo	bravo	1	
ma	ma	1	
mi	mi	1	
piacevano	piacevano	1	
tanto	tanto	1	
quelle	quelle	1	
zucchine	zucchine	1	
le	le	1	
avete	avete	1	
mangiate	mangiate	1	
tutte	tutte	1	
sorry	sorry	1	
_	{P}	0	nonverbal
te	te	1	
le	le	1	
rifaccio	rifaccio	1	
prima	prima	1	
che	che	1	
te	te	1	
ne	ne	1	
vai	vai	1	
_	mhmh	0	MISS
_	{ride}	0	nonverbal
ma	ma	1	
che	che	1	
te	te	1	
ne	ne	1	
vai	vai	1	
_	mh	0	MISS
dove	_	0	ADD
_	ti	0	MISS
che	_	0	ADD
_	piace	0	MISS
va	andar	0	err_flessione
via	via	1	
sai	sai	1	
che	che	1	
possiamo	possiamo	1	
fare	fare	1	
_	ah	0	MISS
con	con	1	
questo	questa	0	err_genere
zucchino	zucchina	0	parola sconosciuta
una	_	0	ADD
gigante	gigante	1	
che	che	1	
tengo	tengo	1	
la	la	1	
vogliamo	vogliamo	1	
rostire	arrostire	0	approssimazione
adesso	adesso	1	
tipo	tipo	1	
se	cioè	0	approssimazione
non	non	1	
ce	ce	1	
la	la	1	
mangiamo	mangiamo	1	
adesso	adesso	1	
però	però	1	
_	{P}	0	nonverbal
lo	lo	1	
facciamo	facciamo	1	
per	per	1	
domani	domani	1	
non	non	1	
è	è	1	
va	va	1	
bene	bene	1	
ma	ma	1	
perché	perché	1	
la	la	1	
zucchinona	zucchinona	1	
_	non	0	MISS
la	l'	0	elisione
avevi	avevi	1	
già	già	1	
fatta	fatta	1	
no	no	1	
erano	erano	1	
due	due	1	
_	zucchinone	0	MISS - repetition
_	lo	0	MISS
zucchinone	zucchinone	1	
una	una	1	
_	l'	1	
l'ho	_	1	
_	ho	1	
fatta	fatta	1	
_	l'	1	
_	altra	1	
l'altra	_	1	
_	mh	0	MISS
eh	eh	1	
ma	ma	1	
l'altra	_	1	
_	l'	1	
è	_	0	ADD
_	altra	1	
metà	metà	1	
perché	perché	1	
metà	metà	1	
si	si	1	
deve	deve	1	
tagliare	tagliare	1	
_	come	0	MISS
_	x	0	unintelligible
_	eh	0	MISS
perché	perché	1	
nel	nel	1	
frigo	frigo	1	
sarà	sarà	1	
troppo	troppo	1	
forte	forte	1	
_	se	0	MISS
_	mh	0	MISS
il	il	1	
ghiaccio	ghiaccio	1	
_	l'	0	MISS
_	ha	0	MISS
è	_	0	ADD
_	tipo	0	MISS
un	un	1	
po'	po'	1	
_	mh	0	MISS
_	il	0	MISS
_	ghiaccio	0	MISS
_	latte	0	MISS
disturbata	disturbata	1	
diciamo	diciamo	1	
così	così	1	
non	non	1	
so	so	1	
come	come	1	
dire	dire	1	
_	mh	0	MISS
_	cioè	0	MISS
si	si	1	
è	è	1	
fatta	fatta	1	
tipo	tipo	1	
molla	molla	1	
strana	strana	1	
si	si	1	
è	è	1	
fangelata	congelata	0	parola sconosciuta
eh	eh	1	
ma	ma	1	
si	si	1	
è	è	1	
fatta	fatta	1	
molla	molla	1	
strana	strana	1	
_	x	0	unintelligible
_	eh	0	MISS
si	si	1	
è	è	1	
bruciata	bruciata	1	
_	si	0	MISS - repetition
_	è	0	MISS - repetition
brava	bravo	0	err_genere
tipo	tipo	1	
forse	forse	1	
una	una	1	
bruciatura	bruciatura	1	
da	dal	0	approssimazione
angelo	gelo	0	approssimazione
mmm	mh	0	grafia
mi	mi	1	
è	è	1	
piaciuto	piaciuto	1	
come	come	1	
le	le	1	
ha	ha	1	
fatte	fatte	1	
miriana	miriana	1	
olè	olè	1	
ti	ci	0	err_persona
ha	ha	1	
messo	messo	1	
dentro	dentro	1	
_	l'	1	
l'origano	_	1	
_	origano	1	
tuttavia	tuttavia	1	
_	d-	0	interrupted
però	però	1	
_	do-	0	interrupted
dovresti	dovresti	1	
essere	essere	1	
contenta	contenta	1	
il	il	1	
primo	primo	1	
complimento	complimento	1	
da	da	1	
qualche	qua che	0	approssimazione
_	hai	0	MISS
cucinato	cucinato	1	
qualcosa	qualcosa	1	
a	a	1	
tu	tu	1	
grazie	grazie	1	
che	_	0	ADD
_	gra-	0	interrupted
me	me	1	
lo	lo	1	
ricorderò	ricorderò	1	
a	a	1	
vita	vita	1	
sappiate	sappiate	1	
che	che	1	
non	non	1	
si	si	1	
replicherà	replicherà	1	
mai	mai	1	
più	più	1	
_	{ride}	0	nonverbal
no	no	1	
perché	perché	1	
poi	poi	1	
_	io	0	MISS
invece	invece	1	
_	eh	0	MISS
adoro	adoro	1	
_	{P}	0	nonverbal
_	i-	0	interrupted
come	come	1	
mangiano	mangiano	1	
in	in	1	
ospedale	ospedale	1	
praticamente	praticamente	1	
fabiana	fabiana	1	
me	me	1	
lo	lo	1	
dice	dice	1	
sempre	sempre	1	
adoro	adoro	1	
senza	senza	1	
sale	sale	1	
cioè	cioè	1	
meno	meno	1	
sale	sale	1	
_	c'	0	MISS
_	è	0	MISS
più	più	1	
mi	mi	1	
piace	piace	1	
senza	senza	1	
olio	olio	1	
senza	senza	1	
niente	niente	1	
cioè	cioè	1	
meno	meno	1	
condimento	condimento	1	
è	è	1	
questo	questo	1	
sale	sale	1	
_	l'	1	
l'ho	_	1	
_	ho	1	
preso	preso	1	
perché	perché	1	
me	_	0	ADD
lo	_	0	ADD
_	mi	0	MISS
hai	hai	1	
visto	visto	1	
tu	tu	1	
eh	eh	1	
però	però	1	
no	no	1	
no	no	1	
sì	sì	1	
sì	sì	1	
questo	questo	1	
sì	sì	1	
più	più	1	
o	o	1	
meno	meno	1	
no	no	1	
ci	ci	1	
sono	sono	1	
cose	cose	1	
e	e	1	
cose	cose	1	
però	però	1	
tipo	tipo	1	
la	la	1	
pasta	pasta	1	
la	la	1	
sto	sto	1	
mangiando	mangiando	1	
quasi	quasi	1	
completamente	completamente	1	
senza	senza	1	
sale	sale	1	
mmm	mh	0	grafia
non	non	1	
fa	fa	1	
schifo	schifo	1	
la	la	1	
pasta	pasta	1	
senza	senza	1	
sale	sa-	0	interrupted
lo	lo	1	
so	so	1	
ma	ma	1	
mi	mi	1	
sono	sono	1	
abituata	abituata	1	
al	al	1	
sapore	sapore	1	
ormai	ormai	1	
pure	pure	1	
quando	quando	1	
ci	ci	1	
metti	metti	1	
un	un	1	
pizzico	pizzico	1	
di	di	1	
sale	sale	1	
la	la	1	
sento	sento	1	
salatissima	salatissima	1	
cioè	cioè	1	
la	la	1	
metti	metti	1	
proprio	proprio	1	
_	{P}	0	nonverbal
di	_	0	ADD
_	il	0	MISS
sale	sale	1	
_	nell'	1	
nell'acqua	_	1	
_	acqua	1	
no	no	1	
mmm	mh	0	grafia
cosa	cosa	1	
_	ma	0	MISS
_	chii	0	MISS
_	famo	0	MISS
eh	eh	1	
non	non	1	
lo	lo	1	
so	so	1	
però	però	1	
non	non	1	
mi	mi	1	
sono	sono	1	
abituata	abituata	1	
non	non	1	
so	so	1	
perché	perché	1	
_	va	0	MISS
_	beh	0	MISS
che	che	1	
problemi	problema	0	err_genere
hai	hai	1	
eh	eh	1	
fatti	infatti	0	approssimazione
che	che	1	
problemi	problema	0	err_numero
ho	ho	1	
ditemelo	ditemelo	1	
voi	voi	1	
ah	ah	1	
beh	beh	1	
meglio	meglio	1	
così	così	1	
in	in	1	
realtà	realtà	1	
tanti	tanti	1	
ma	ma	1	
no	no	1	
veramente	veramente	1	
tantissimi	tantissimi	1	
cioè	cioè	1	
voglio	voglio	1	
dire	dire	1	
_	ops	0	MISS
che	che	1	
non	non	1	
la	la	1	
vuoi	vuoi	1	
salare	sala-	0	interrupted
cioè	cioè	1	
che	che	1	
non	non	1	
vuoi	vuoi	1	
mettere	mettere	1	
il	il	1	
sale	sale	1	
nel	nel	1	
condimento	condimento	1	
della	della	1	
pasta	pasta	1	
però	però	1	
non	non	1	
salare	salare	1	
_	l'	1	
l'acqua	_	1	
_	acqua	1	
quando	quando	1	
la	la	1	
bolli	bolli	1	
è	è	1	
illegale	illegale	1	
esatto	esatto	1	
_	non	0	MISS
_	si	0	MISS
_	fa	0	MISS
è	è	1	
illegale	illegale	1	
lo	lo	1	
so	so	1	
ma	ma	1	
_	t-	0	interrupted
vi	vi	1	
giuro	giuro	1	
che	che	1	
io	io	1	
sento	sento	1	
ormai	ormai	1	
sempre	sempre	1	
salato	salato	1	
potete	pure se	0	approssimazione
_	ci	0	MISS
mettere	metti	0	err_flessione
un	un	1	
pizzico	pizzico	1	
