0	bene	bene	1
1	allora	allora	1
2	intanto	intanto	1
3	ero	ero	1
4	curiosa	curiosa	1
5	di	di	1
6	sapere	sapere	1
7	da	da	1
8	quanto	quanto	1
9	tempo	tempo	1
10	_	c'	0
11	c'è	_	0
12	_	è	0
13	questo	questo	1
14	negozio	negozio	1
15	perché	perché	1
16	io	io	1
17	sono	sono	1
18	di	di	1
19	qui	qui	1
20	e	e	1
21	frequento	frequento	1
22	un	un	1
23	po'	po'	1
24	questa	questa	1
25	zona	zona	1
26	ma	ma	1
27	non	non	1
28	_	l'	0
29	l'avevo	_	0
30	_	avevo	0
31	mai	mai	1
32	visto	visto	1
33	no	no	1
34	_	eh	0
35	non	non	1
36	è	è	1
37	così	così	1
38	stranamente	stranamente	1
39	questo	questo	1
40	negozio	negozio	1
41	è	è	1
42	già	già	1
43	da	da	1
44	22	_	0
45	_	ventidue	0
46	anni	anni	1
47	ok	ok	1
48	quindi	quindi	1
49	non	non	1
50	è	è	1
51	nuovo	nuovo	1
52	sono	sono	1
53	qui	qui	1
54	da	da	1
55	6	_	0
56	_	sei	0
57	anni	anni	1
58	no	no	1
59	no	no	1
60	no	no	1
61	questo	questo	1
62	qua	qua	1
63	non	non	1
64	è	è	1
65	nuovo	nuovo	1
66	di	di	1
67	prima	prima	1
68	era	era	1
69	una	una	1
70	casa	casa	1
71	_	d'	0
72	d'autrice	_	0
73	_	autrice	0
74	vaisi	vaisi	1
75	poi	poi	1
76	hanno	hanno	1
77	chiuso	chiuso	1
78	allora	allora	1
79	già	già	1
80	comprato	comprato	1
81	_	un'	0
82	un'altra	_	0
83	_	altra	0
84	persona	persona	1
85	e	e	1
86	è	_	0
87	fatta	fatta	1
88	copisteria	copisteria	1
89	ok	ok	1
90	poi	poi	1
91	io	io	1
92	sono	sono	1
93	da	da	1
94	terza	terza	1
95	mano	mano	1
96	che	che	1
97	_	iù	0
98	andando	andando	1
99	avanti	avanti	1
100	_	mhmh	0
101	ok	ok	1
102	_	mhmh	0
103	noi	noi	1
104	siamo	siamo	1
105	venuti	venuti	1
106	qui	qui	1
107	a	a	1
108	chiedere	chiedere	1
109	a	a	1
110	te	te	1
111	la	la	1
112	disponibilità	disponibilità	1
113	perché	perché	1
114	_	il	0
115	la	la	1
116	verità	verità	1
117	è	è	1
118	che	che	1
119	siamo	siamo	1
120	andati	andati	1
121	alla	alla	1
122	copisteria	copisteria	1
123	di	di	1
124	via	via	1
125	del	del	1
126	guasto	guasto	1
127	a	a	1
128	chiedere	chiedere	1
129	e	e	1
130	i	i	1
131	ragazzi	ragazzi	1
132	ci	ci	1
133	hanno	hanno	1
134	detto	detto	1
135	che	che	1
136	dovremmo	dovremmo	1
137	_	assolutamente	0
138	_	sì	0
139	_	a	0
140	_	chiedere	0
141	_	mhmh	0
142	_	e	0
143	_	i	0
144	_	ragazzi	0
145	_	ci	0
146	_	hanno	0
147	_	detto	0
148	_	che	0
149	_	dovevamo	0
150	assolutamente	assolutamente	1
151	venire	venire	1
152	da	da	1
153	te	te	1
154	beh	beh	1
155	_	eh	0
156	sì	sì	1
157	perché	perché	1
158	loro	loro	1
159	_	non	0
160	_	è	0
161	non	non	1
162	è	è	1
163	abbastanza	_	0
164	_	abbasta-	0
165	cioè	cioè	1
166	loro	loro	1
167	non	non	1
168	loro	loro	1
169	sono	sono	1
170	bravi	bravi	1
171	ma	ma	1
172	non	non	1
173	sono	sono	1
174	bravi	bravi	1
175	per	per	1
176	rispondere	rispondere	1
177	a	a	1
178	un	un	1
179	sacco	sacco	1
180	di	di	1
181	domande	domande	1
182	che	che	1
183	anche	anche	1
184	non	non	1
185	sono	sono	1
186	bravi	bravi	1
187	in	in	1
188	italiano	italiano	1
189	proprio	proprio	1
190	per	_	0
191	_	poco	0
192	parole	parole	1
193	ok	ok	1
194	quindi	quindi	1
195	_	forse	0
196	forse	forse	1
197	il	il	1
198	problema	problema	1
199	era	era	1
200	quello	quello	1
201	_	sì	0
202	_	non	0
203	non	non	1
204	abbiamo	abbiamo	1
205	capito	capito	1
206	se	se	1
207	erano	erano	1
208	preoccupati	preoccupati	1
209	perché	perché	1
210	no	no	1
211	non	non	1
212	sono	sono	1
213	non	non	1
214	è	è	1
215	preoccupati	preoccupati	1
216	però	però	1
217	_	eh	0
218	lo	lo	1
219	sai	sai	1
220	che	che	1
221	quando	quando	1
222	qualcuno	qualcuno	1
223	che	che	1
224	non	non	1
225	capisce	capisce	1
226	cosa	cosa	1
227	è	è	1
228	la	la	1
229	domanda	domanda	1
230	_	mhmh	0
231	e	e	1
232	quale	quale	1
233	che	che	1
234	è	è	1
235	la	la	1
236	_	sp-	0
237	risposta	risposta	1
238	che	che	1
239	sta	sta	1
240	facendo	facendo	1
241	in	in	1
242	_	un'	0
243	un'altra	_	0
244	_	altra	0
245	lingua	lingua	1
246	che	che	1
247	lui	lui	1
248	non	non	1
249	è	è	1
250	abbastanza	abbastanza	1
251	_	brava	0
252	allora	allora	1
253	è	è	1
254	un	_	0
255	_	una	0
256	problema	problema	1
257	perciò	perciò	1
258	che	_	0
259	è	è	1
260	una	una	1
261	persona	persona	1
262	no	no	1
263	_	mhmh	0
264	sì	sì	1
265	_	forse	0
266	_	perciò	0
267	_	che	0
268	_	ha	0
269	_	diffi-	0
270	forse	forse	1
271	è	è	1
272	stato	stato	1
273	per	per	1
274	quello	quello	1
275	_	sì	0
276	e	e	1
277	stamattina	stamattina	1
278	noi	noi	1
279	siamo	siamo	1
280	andati	_	0
281	_	andate	0
282	in	in	1
283	_	zona	0
284	praticamente	praticamente	1
285	tutti	tutti	1
286	i	i	1
287	negozi	negozi	1
288	di	di	1
289	via	via	1
290	san	san	1
291	vitale	vitale	1
292	a	_	0
293	chiedere	_	0
294	sì	sì	1
295	nessuno	nessuno	1
296	che	che	1
297	non	non	1
298	ti	ti	1
299	ha	ha	1
300	detto	detto	1
301	che	che	1
302	_	c'	0
303	_	è	0
304	_	a	0
305	c'è	_	0
306	_	chiedere	0
307	sì	sì	1
308	perché	perché	1
309	hanno	hanno	1
310	paura	paura	1
311	_	per	0
312	perché	perché	1
313	_	non	0
314	_	lo	0
315	_	s-	0
316	non	non	1
317	si	si	1
318	sa	sa	1
319	cosa	cosa	1
320	succederà	succederà	1
321	dopo	dopo	1
322	_	mhmh	0
323	_	mh	0
324	infatti	infatti	1
325	sì	sì	1
326	quindi	quindi	1
327	vabbè	vabbè	1
328	ma	ma	1
329	noi	noi	1
330	abbiamo	abbiamo	1
331	provato	provato	1
332	ovviamente	ovviamente	1
333	_	assolutamente	0
334	assolutamente	assolutamente	1
335	_	eh	0
336	e	_	0
337	_	ma	0
338	invece	invece	1
339	tu	tu	1
340	vivi	vivi	1
341	in	in	1
342	italia	italia	1
343	da	da	1
344	sempre	sempre	1
345	da	da	1
346	alcuni	alcuni	1
347	anni	anni	1
348	no	no	1
349	non	non	1
350	è	è	1
351	che	che	1
352	da	da	1
353	sempre	sempre	1
354	sì	sì	1
355	da	da	1
356	circa	circa	1
357	15	_	0
358	_	quindici	0
359	anni	anni	1
360	già	già	1
361	passato	passato	1
362	_	okay	0
363	_	okay	0
364	_	x	0
365	beh	beh	1
366	comunque	comunque	1
367	_	parli	0
368	_	ben-	0
369	parli	parli	1
370	benissimo	benissimo	1
371	_	sì	0
372	beh	beh	1
373	15	_	0
374	_	quindici	0
375	anni	anni	1
376	eh	eh	1
377	non	non	1
378	sono	sono	1
379	sì	sì	1
380	è	è	1
381	già	già	1
382	passata	passata	1
383	proprio	proprio	1
384	un	un	1
385	sé	_	0
386	o	_	0
387	_	se-	0
388	più	più	1
389	di	di	1
390	un	un	1
391	secolo	secolo	1
392	_	mh	0
393	ma	ma	1
394	hai	hai	1
395	studiato	studiato	1
396	da	da	1
397	solo	solo	1
398	_	no	0
399	_	ceh	0
400	no	no	1
401	non	non	1
402	è	è	1
403	che	che	1
404	hai	hai	1
405	studiato	studiato	1
406	da	da	1
407	solo	solo	1
408	_	è	0
409	che	che	1
410	ho	ho	1
411	fatto	fatto	1
412	anche	anche	1
413	superiore	superiore	1
414	qui	qui	1
415	ah	ah	1
416	ok	ok	1
417	quindi	quindi	1
418	_	sei	0
419	sei	sei	1
420	giovanissimo	giovanissimo	1
421	_	sì	0
422	sì	sì	1
423	giovanissimo	giovanissimo	1
424	perché	perché	1
425	io	io	1
426	_	{P}	0
427	_	no-	0
428	non	non	1
429	voglio	voglio	1
430	chiedere	chiedere	1
431	_	l'	0
432	_	età	0
433	che	che	1
434	sta	sta	1
435	perché	perché	1
436	non	non	1
437	_	giusto	0
438	no	no	1
439	no	no	1
440	assolutamente	assolutamente	1
441	non	_	0
442	deve	deve	1
443	chiedere	chiedere	1
444	però	però	1
445	_	e	0
446	sei	sei	1
447	andato	andato	1
448	a	a	1
449	scuola	scuola	1
450	qui	qui	1
451	quindi	quindi	1
452	sì	sì	1
453	che	che	1
454	scuola	scuola	1
455	hai	hai	1
456	fatto	fatto	1
457	perché	perché	1
458	_	anch'	0
459	anch'io	_	0
460	_	io	0
461	sono	sono	1
462	andata	andata	1
463	a	a	1
464	scuola	scuola	1
465	qui	qui	1
466	un	un	1
467	po'	po'	1
468	di	di	1
469	anni	anni	1
470	fa	fa	1
471	ma	ma	1
472	esattamente	esattamente	1
473	primo	primo	1
474	eh	eh	1
475	ho	_	0
476	_	è	0
477	andato	andato	1
478	il	il	1
479	_	mh	0
480	manfredi	manfredi	1
481	tanari	tanari	1
482	ok	ok	1
483	che	che	1
484	per	per	1
485	la	la	1
486	lingua	lingua	1
487	che	che	1
488	non	non	1
489	ho	ho	1
490	riuscito	riuscito	1
491	a	_	0
492	passare	passare	1
493	e	_	0
494	poi	poi	1
495	ci	_	0
496	_	c'	0
497	avevo	avevo	1
498	trasferito	trasferito	1
499	in	in	1
500	fioravanti	fioravanti	1
501	ok	ok	1
502	adesso	adesso	1
503	è	è	1
504	vellosi	vellosi	1
505	fioravanti	fioravanti	1
506	no	_	0
507	quando	quando	1
508	_	era	0
509	ero	_	0
510	_	fatta	0
511	fatto	_	0
512	_	era	0
513	era	era	1
514	solo	solo	1
515	il	il	1
516	fioravanti	fioravanti	1
517	_	mhmh	0
518	ok	_	0
519	_	okay	0
520	e	e	1
521	che	che	1
522	indirizzo	indirizzo	1
523	ha	ha	1
524	che	che	1
525	non	non	1
526	lo	lo	1
527	so	so	1
528	no	no	1
529	era	era	1
530	_	boh	0
531	_	ceh	0
532	adesso	adesso	1
533	mi	mi	1
534	sembrava	sembrava	1
535	di	di	1
536	_	mh	0
537	casalecchio	casalecchio	1
538	ok	_	0
539	_	okay	0
540	ok	_	0
541	_	okay	0
542	ok	_	0
543	_	di	0
544	vellosi	vellosi	1
545	fioravanti	fioravanti	1
546	ok	_	0
547	ok	_	0
548	_	okay	0
549	ok	_	0
550	_	okay	0
551	ho	ho	1
552	capito	capito	1
553	e	e	1
554	_	che	0
555	che	che	1
556	cosa	cosa	1
557	si	si	1
558	studia	studia	1
559	_	al	0
560	_	mh	0
561	_	vellozzi	0
562	_	sì	0
563	tecnico	tecnico	1
564	tecnico	tecnico	1
565	e	_	0
566	_	eh	0
567	elettrica	elettrica	1
568	elettronica	elettronica	1
569	informatica	informatica	1
570	no	no	1
571	_	eh	0
572	là	là	1
573	ero	_	0
574	_	erava-	0
575	no	no	1
576	_	eh	0
577	sì	sì	1
578	perché	perché	1
579	ci	ci	1
580	sono	sono	1
581	di	di	1
582	informatica	informatica	1
583	meccanica	meccanica	1
584	e	e	1
585	idraulica	idraulica	1
586	con	con	1
587	auto-meccanica	auto-meccanica	1
588	_	mhmh	0
589	ok	_	0
590	_	okay	0
591	e	e	1
592	quando	_	0
593	_	ha	0
594	hai	_	0
595	_	fatta	0
596	fatto	_	0
597	_	il	0
598	cioè	cioè	1
599	auto-meccanico	auto-meccanico	1
600	con	con	1
601	idraulica	idraulica	1
602	_	mhmhmh	0
603	e	e	1
604	quando	quando	1
605	hai	hai	1
606	finito	finito	1
607	di	di	1
608	studiare	studiare	1
609	sei	sei	1
610	venuto	venuto	1
611	a	a	1
612	lavorare	lavorare	1
613	_	subi-	0
614	no	no	1
615	ero	ero	1
616	cercato	cercato	1
617	il	il	1
618	lavoro	lavoro	1
619	che	che	1
620	di	di	1
621	varie	varie	1
622	parti	parti	1
623	_	dell'	0
624	dell'officina	_	0
625	_	officina	0
626	per	per	1
627	oficina	oficina	1
628	di	di	1
629	auto	auto	1
630	assolutamente	assolutamente	1
631	non	non	1
632	il	il	1
633	moto	moto	1
634	era	era	1
635	officina	officina	1
636	di	di	1
637	auto	auto	1
638	però	però	1
639	visto	visto	1
640	che	che	1
641	il	il	1
642	settore	settore	1
643	ci	ci	1
644	sono	sono	1
645	un	un	1
646	sacco	sacco	1
647	di	di	1
648	lavoro	lavoro	1
649	però	però	1
650	non	non	1
651	ho	ho	1
652	trovato	trovato	1
653	il	il	1
654	punto	punto	1
655	come	come	1
656	ero	ero	1
657	cercavo	cercavo	1
658	poi	poi	1
659	ho	ho	1
660	cercato	cercato	1
661	_	d'	0
662	d'altra	_	0
663	_	altra	0
664	parte	parte	1
665	dove	dove	1
666	ho	ho	1
667	trovato	trovato	1
668	_	c'	0
669	c'è	_	0
670	_	è	0
671	rientrato	rientrato	1
672	perché	perché	1
673	in	in	1
674	lavorare	lavorare	1
675	sì	sì	1
676	sì	sì	1
677	sì	sì	1
678	e	e	1
679	quindi	quindi	1
680	vivere	vivere	1
681	a	a	1
682	bologna	bologna	1
683	ti	ti	1
684	piace	piace	1
685	assolutamente	assolutamente	1
686	assolutamente	assolutamente	1
687	ma	ma	1
688	il	il	1
689	problema	problema	1
690	è	è	1
691	che	che	1
692	non	non	1
693	trovi	trovi	1
694	a	a	1
695	casa	casa	1
696	in	in	1
697	bologna	bologna	1
698	è	è	1
699	una	una	1
700	fondamentale	fondamentale	1
701	ce	ce	1
702	lo	lo	1
703	stanno	stanno	1
704	dicendo	dicendo	1
705	tu	tu	1
706	non	non	1
707	è	è	1
708	che	che	1
709	solo	solo	1
710	in	in	1
711	bologna	bologna	1
712	anche	anche	1
713	guarda	guarda	1
714	che	che	1
715	settimana	settimana	1
716	di	di	1
717	scorso	scorso	1
718	ho	ho	1
719	visto	visto	1
720	un	un	1
721	intervento	intervento	1
722	da	da	1
723	un	un	1
724	proprio	proprio	1
725	giornalista	giornalista	1
726	della	della	1
727	firenze	firenze	1
728	è	è	1
729	lo	lo	1
730	stesso	stesso	1
731	problema	problema	1
732	lo	lo	1
733	stesso	stesso	1
734	problema	problema	1
735	cioè	cioè	1
736	poi	poi	1
737	bologna	bologna	1
738	non	non	1
739	è	è	1
740	che	che	1
741	è	è	1
742	iniziato	iniziato	1
743	questo	questo	1
744	problema	problema	1
745	da	da	1
746	oggi	oggi	1
747	e	e	1
748	se	se	1
749	tu	tu	1
750	parli	parli	1
751	se	se	1
752	tu	tu	1
753	chiedi	chiedi	1
754	una	una	1
755	persona	persona	1
756	anziana	anziana	1
757	che	che	1
758	è	è	1
759	finita	finita	1
760	di	di	1
761	studiare	studiare	1
762	cioè	cioè	1
763	come	come	1
764	stranero	stranero	1
765	come	come	1
766	me	me	1
767	come	come	1
768	stranero	stranero	1
769	significa	significa	1
770	che	che	1
771	sei	sei	1
772	venuto	venuto	1
773	da	da	1
774	_	un'	0
775	un'altra	_	0
776	_	altra	0
777	città	città	1
778	tipo	tipo	1
779	anche	anche	1
780	napoli	napoli	1
781	è	è	1
782	giù	giù	1
783	parliamo	parliamo	1
784	anche	anche	1
785	roma	roma	1
786	guarda	guarda	1
787	che	che	1
788	se	se	1
789	chiedi	chiedi	1
790	che	che	1
791	quanti	quanti	1
792	anni	anni	1
793	sei	sei	1
794	in	in	1
795	bologna	bologna	1
796	tra	tra	1
797	parentesi	parentesi	1
798	dici	dici	1
799	guarda	guarda	1
800	che	che	1
801	io	io	1
802	ho	ho	1
803	laureato	laureato	1
804	qui	qui	1
805	ti	ti	1
806	raccolta	raccolta	1
807	la	la	1
808	storia	storia	1
809	come	come	1
810	era	era	1
811	prima	prima	1
812	e	e	1
813	trattava	trattava	1
814	come	come	1
815	stranero	stranero	1
816	cioè	cioè	1
817	non	non	1
818	dalla	dalla	1
819	casa	casa	1
820	non	non	1
821	_	c'	0
822	c'è	_	0
823	_	è	0
824	proprio	proprio	1
825	era	era	1
826	il	il	1
827	bologna	bologna	1
828	ha	ha	1
829	questa	questa	1
830	storia	storia	1
831	da	da	1
832	storia	storia	1
833	_	c'	0
834	c'è	_	0
835	_	è	0
836	proprio	proprio	1
837	da	da	1
838	100	_	0
839	_	cento	0
840	anni	anni	1
841	mi	mi	1
842	sembrava	sembrava	1
843	ancora	ancora	1
844	più	più	1
845	sì	sì	1
846	è	è	1
847	possibile	possibile	1
848	sì	sì	1
849	sì	sì	1
850	non	non	1
851	so	so	1
852	se	se	1
853	tu	tu	1
854	hai	hai	1
855	avuto	avuto	1
856	problemi	problemi	1
857	a	a	1
858	trovare	trovare	1
859	casa	casa	1
860	perché	perché	1
861	anche	anche	1
862	lei	lei	1
863	tutti	tutti	1
864	quanti	quanti	1
865	guarda	guarda	1
866	che	che	1
867	_	un'	0
868	un'utile	_	0
869	_	utile	0
870	faile	faile	1
871	a	a	1
872	questa	questa	1
873	domanda	domanda	1
874	è	è	1
875	tutti	tutti	1
876	quanti	quanti	1
877	tutti	tutti	1
878	quanti	quanti	1
879	e	e	1
880	_	c'	0
881	c'è	_	0
882	_	è	0
883	stato	stato	1
884	qualche	qualche	1
885	che	che	1
886	hanno	hanno	1
887	soldi	soldi	1
888	e	e	1
889	compra	compra	1
