whisper;human;match;error
per;per;1;
4;_;1;
_;quattro;1;
no;no;1;
_;n~;0;interrupted
un;un;1;
chilo;kilo;0;grafia
e;_;0;ADD
700;_;1;
_;settecento;1;
grammi;grammi;1;
di;di;1;
pasta;pasta;1;
eh;eh;1;
vabbè;vabbè;1;
_;ma;0;MISS
perché;perché;1;
quello;quello;1;
il;il;1;
padre;padre;1;
se;se;1;
ne;ne;1;
mangia;mangia;1;
assai;assai;1;
io;io;1;
so;so;1;
_;con;0;MISS
_;due;0;MISS
il;il;1;
padre;padre;1;
_;man~;0;interrupted
va;_;0;ADD
_;ne;0;MISS - repetition
e;_;0;ADD
_;mangia;0;MISS - repetition
ne;ne;1;
mangia;mangia;1;
una;una;1;
scotella;scodella;0;parola sconosciuta
di;da;0;approssimazione
insalata;insalata;1;
_;eh;0;MISS
con;con;1;
due;due;1;
vasetti;vasetti;1;
del;del;1;
pesto;pesto;1;
quello;quello;1;
la;là;0;grafia
barilla;barilla;1;
_;vabbè;0;MISS
_;grazie;0;MISS
_;con;0;MISS
_;settecento;0;MISS
_;grammi;0;MISS
_;di;0;MISS
_;pasta;0;MISS
_;rico~;0;interrupted
ricotta;ricotta;1;
e;e;1;
noci;noci;1;
non;non;1;
contenta;contenta;1;
il;il;1;
fiordilatte;fior di latte;0;grafia
dentro;dentro;1;
non;non;1;
contenta;contenta;1;
i;il;0;err_numero
parmigiano;parmigiano;1;
sopra;sopra;1;
e;e;1;
lo;_;0;ADD
_;non;0;MISS
stona;stona;1;
no;non;0;err_category
contento;contenta;0;err_genere
mi;mi;1;
ha;ha;1;
detto;detto;1;
_;eh;0;MISS
se;se;1;
_;c'avevo;1;
li;le;0;err_genere
non ci;noci;0;approssimazione
mettevo;mettevo;1;
pure;pure;1;
le;le;1;
noci;noci;1;
sopra;sopra;1;
no;no;1;
che;_;0;ADD
bravo;marò;0;parola sconosciuta
_;esagerata;0;MISS
ma;ua;0;approssimazione
mi;mi;1;
piacevano;piacevano;1;
tanto;tanto;1;
quelle;quelle;1;
zucchine;zucchine;1;
le;le;1;
avete;avete;1;
mangiate;mangiate;1;
tutte;tutte;1;
_;mh;0;MISS
sorry;sorry;1;
te;te;1;
le;le;1;
rifaccio;rifaccio;1;
prima;prima;1;
che;che;1;
te;te;1;
ne;ne;1;
vai;vai;1;
_;eh;0;MISS
ma;_;0;ADD
_;prima;0;MISS
che;che;1;
te;te;1;
ne;ne;1;
vai;vai;1;
_;mh;0;MISS
_;è;0;MISS
dove;_;0;ADD
_;lui;0;MISS
che;che;1;
va;va;1;
via;via;1;
sai;sai;1;
che;che;1;
possiamo;possiamo;1;
fare;fare;1;
_;mhmh;0;MISS
_;no;0;MISS
con;con;1;
questo;questa;0;err_genere
zucchino;zucchinona;0;parola sconosciuta
una;_;0;ADD
gigante;gigante;1;
che;che;1;
tengo;tengo;1;
_;{P};0;nonverbal
la;la;1;
vogliamo;vogliamo;1;
rostire;arrostire;0;parola sconosciuta
adesso;adesso;1;
tipo;tipo;1;
se;cioè;0;approssimazione
non;non;1;
ce;ce;1;
la;la;1;
mangiamo;mangiamo;1;
adesso;adesso;1;
però;però;1;
lo;lo;1;
facciamo;facciamo;1;
per;per;1;
domani;domani;1;
non;_;0;ADD
è;_;0;ADD
_;magari;0;MISS
va;va;1;
bene;bene;1;
ma;ma;1;
perché;perché;1;
la;la;1;
zucchinona;zucchinona;1;
_;non;0;MISS
la;l';0;elisione
avevi;avevi;1;
già;già;1;
fatta;fatta;1;
no;amo';0;approssimazione
erano;erano;1;
due;due;1;
_;zucchinone;0;MISS - repetition
_;x;0;unintelligible
zucchinone;zucchinone;1;
una;una;1;
_;l';1;
l'ho;_;1;
_;ho;1;
fatta;fatta;1;
_;{P};0;nonverbal
_;l';1;
l'altra;_;1;
_;altra;1;
eh;eh;1;
ma;ma;1;
_;l';1;
l'altra;_;1;
_;altra;1;
è;è;1;
metà;metà;1;
perché;perché;1;
metà;metà;1;
si;si;1;
deve;deve;1;
tagliare;tagliare;1;
_;è;0;MISS
_;nel;0;MISS
_;frigo;0;MISS
_;eh;0;MISS
perché;perché;1;
nel;nel;1;
frigo;frigo;1;
sarà;stava;0;approssimazione
troppo;troppo;1;
forte;forte;1;
_;se;0;MISS
_;ì;0;MISS
_;m;0;MISS
il;il;1;
ghiaccio;ghiaccio;1;
_;l';0;MISS
_;ha;0;MISS
è;_;0;ADD
_;tipo;0;MISS
un;un;1;
_;po;1;
_;mh;0;MISS
_;il;0;MISS
_;ghiaccio;0;MISS
_;là;0;MISS
_;che;0;MISS
_;è;0;MISS
po';_;1;
_;eh;0;MISS
disturbata;disturbata;1;
diciamo;diciamo;1;
così;così;1;
non;non;1;
so;so;1;
come;come;1;
dire;dire;1;
_;mh;0;MISS
_;mh;0;MISS
_;cioè;0;MISS
si;si;1;
è;è;1;
fatta;fatta;1;
tipo;tipo;1;
molla;molla;1;
strana;strana;1;
_;no;0;MISS
si;s';0;elisione
è;è;1;
fangelata;congelata;0;parola sconosciuta
eh;eh;1;
ma;ma;1;
si;si;1;
è;è;1;
fatta;fatta;1;
molla;molla;1;
strana;strana;1;
_;da;0;MISS
_;un;0;MISS
_;lato;0;MISS
_;eh;0;MISS
si;si;1;
è;è;1;
bruciata;bruciata;1;
_;si;0;MISS
_;è;0;MISS
brava;bra~;0;interrupted
tipo;tipo;1;
forse;forse;1;
una;una;1;
bruciatura;bruciatura;1;
da;da;1;
angelo;gelo;0;approssimazione
mmm;mh;0;grafia
mi;mi;1;
è;è;1;
piaciuto;piaciuto;1;
come;come;1;
le;le;1;
ha;ha;1;
fatte;fatte;1;
miriana;rosanna;0;nome proprio
olè;olè;1;
ti;c';0;err_persona
ha;ha;1;
messo;messo;1;
dentro;dentro;1;
_;l';1;
l'origano;_;1;
_;origano;1;
tuttavia;tuttavia;1;
_;x;0;unintelligible
_;davvero;0;MISS
però;_;0;ADD
_;do~;0;interrupted
dovresti;dovresti;1;
essere;essere;1;
contenta;contenta;1;
_;è;0;MISS
il;il;1;
primo;primo;1;
complimento;complimento;1;
da;da;1;
qualche;qua~ che;0;approssimazione
_;hai;0;MISS
cucinato;cucinato;1;
qualcosa;qualcosa;1;
a;_;0;ADD
tu;tu;1;
_;{applaude};0;nonverbal
grazie;grazie;1;
che;_;0;ADD
_;gra~;0;interrupted
me;me;1;
lo;lo;1;
ricorderò;ricorderò;1;
a;a;1;
vita;vita;1;
sappiate;sappiate;1;
che;che;1;
non;non;1;
si;si;1;
replicherà;replicherà;1;
mai;mai;1;
più;più;1;
_;{ride};0;nonverbal
no;no;1;
perché;perché;1;
poi;poi;1;
_;io;0;MISS
invece;invece;1;
_;e;0;MISS
adoro;adoro;1;
_;i~;0;interrupted
come;come;1;
mangiano;mangiano;1;
in;in;1;
ospedale;ospedale;1;
praticamente;praticamente;1;
fabiana;luciana;0;nome proprio
me;me;1;
lo;lo;1;
dice;dice;1;
sempre;sempre;1;
adoro;allora;0;approssimazione
senza;senza;1;
sale;sale;1;
cioè;cioè;1;
meno;meno;1;
sale;sale;1;
_;c';0;MISS
_;è;0;MISS
più;più;1;
mi;mi;1;
piace;piace;1;
senza;senza;1;
olio;olio;1;
senza;senza;1;
niente;niente;1;
cioè;cioè;1;
meno;meno;1;
condimento;condimento;1;
è;è;1;
questo;questo;1;
sale;sale;1;
_;l';1;
_;ho;1;
l'ho;_;1;
_;pre;1;
preso;_;1;
_;so;1;
perché;perché;1;
me;me;1;
lo;l';0;elisione
hai;hai;1;
visto;chiesto;0;approssimazione
tu;tu;1;
eh;eh;1;
però;però;1;
_;eh;0;MISS
no;no;1;
no;no;1;
sì;sì;1;
sì;sì;1;
questo;questo;1;
sì;sì;1;
_;x;0;unintelligible
più;più;1;
o;o;1;
meno;meno;1;
no;no;1;
ci;ci;1;
sono;sono;1;
cose;cose;1;
e;e;1;
cose;cose;1;
però;però;1;
tipo;tipo;1;
la;la;1;
pasta;pasta;1;
_;me;0;MISS
la;la;1;
sto;sto;1;
mangiando;mangiando;1;
quasi;quasi;1;
completamente;completamente;1;
senza;senza;1;
sale;sale;1;
mmm;mh;0;grafia
non;non;1;
fa;fa;1;
schifo;schifo;1;
la;la;1;
pasta;pasta;1;
senza;senza;1;
sale;sa~;0;interrupted
lo;lo;1;
so;so;1;
ma;ma;1;
mi;mi;1;
sono;sono;1;
abituata;abituata;1;
al;al;1;
sapore;sapore;1;
ormai;ormai;1;
pure;pure;1;
quando;quando;1;
ci;ci;1;
metti;metti;1;
un;un;1;
pizzico;pizzico;1;
di;di;1;
sale;sale;1;
_;io;0;MISS
la;la;1;
sento;sento;1;
salatissima;salatissima;1;
cioè;cioè;1;
la;_;0;ADD
_;non;0;MISS
metti;metti;1;
proprio;proprio;1;
_;{P};0;nonverbal
di;_;0;ADD
_;il;0;MISS
sale;sale;1;
_;nell';1;
nell'acqua;_;1;
_;acqua;1;
no;no;1;
mmm;mh;0;grafia
cosa;cosa;1;
_;che;0;MISS
_;schifo;0;MISS
_;amo';0;MISS
eh;eh;1;
non;_;0;ADD
lo;lo;1;
so;so;1;
però;però;1;
non;no;0;err_category
_;x;0;unintelligible
mi;mi;1;
sono;sono;1;
abituata;abituata;1;
non;non;1;
so;so;1;
_;il;0;MISS
perché;perché;1;
_;vabbè;0;MISS
che;che;1;
problemi;problema;0;err_numero
hai;hai;1;
_;{ride};0;nonverbal
eh;eh;1;
fatti;infatti;0;approssimazione
_;l';1;
_;insalatina;1;
l'insalatina;_;1;
_;{ride};0;nonverbal
doveva;_;0;ADD
_;no;0;MISS
non;non;1;
mi;mi;1;
guardare;guardare;1;
così;così;1;
che;che;1;
ho;ho;1;
detto;detto;1;
_;sapere;0;MISS
_;che;0;MISS
devo;_;0;ADD
_;c';0;MISS
mettere;_;0;ADD
_;era;0;MISS
voglio;_;0;ADD
_;l';0;MISS
dentro;_;0;ADD
_;insalatina;0;MISS
ci;c';0;elisione
erano;erano;1;
i;i;1;
cubetti;cubetti;1;
_;{P};0;nonverbal
di;di;1;
provolone;provolone;1;
_;e;0;MISS
il;i;0;err_numero
cubetti;cubetti;1;
di;di;1;
_;sa-;0;interrupted
_;ti;0;MISS
sembra;sembra;1;
_;un';1;
un'insalatina;_;1;
_;insalatina;1;
questa;questa;1;
