0	bene	bene	1
1	_	{P}	0
2	allora	allora	1
3	_	{P}	0
4	intanto	intanto	1
5	_	{P}	0
6	ero	ero	1
7	curiosa	curiosa	1
8	di	di	1
9	sapere	sapere	1
10	da	da	1
11	quanto	quanto	1
12	tempo	tempo	1
13	_	c'	0
14	c'è	_	0
15	_	è	0
16	questo	questo	1
17	negozio	negozio	1
18	perché	perché	1
19	io	io	1
20	sono	sono	1
21	di	di	1
22	qui	qui	1
23	e	e	1
24	frequento	frequento	1
25	un	un	1
26	po'	po'	1
27	questa	questa	1
28	zona	zona	1
29	ma	ma	1
30	non	non	1
31	_	l'	0
32	l'avevo	_	0
33	_	avevo	0
34	mai	mai	1
35	visto	visto	1
36	no	no	1
37	non	non	1
38	è	è	1
39	così	così	1
40	stranamente	stranamente	1
41	questo	questo	1
42	negozio	negozio	1
43	è	è	1
44	già	già	1
45	da	da	1
46	22	_	0
47	_	ventidue	0
48	anni	anni	1
49	ok	ok	1
50	quindi	quindi	1
51	non	non	1
52	è	è	1
53	nuovo	nuovo	1
54	sono	sono	1
55	qui	qui	1
56	da	da	1
57	6	_	0
58	_	sei	0
59	anni	anni	1
60	no	no	1
61	no	no	1
62	no	no	1
63	questo	questo	1
64	qua	qua	1
65	non	non	1
66	è	è	1
67	nuovo	nuovo	1
68	di	di	1
69	prima	prima	1
70	era	era	1
71	una	una	1
72	casa	casa	1
73	_	d'	0
74	d'autrice	_	0
75	_	autrice	0
76	vaisi	vaisi	1
77	poi	poi	1
78	hanno	hanno	1
79	chiuso	chiuso	1
80	allora	allora	1
81	già	già	1
82	comprato	comprato	1
83	_	un'	0
84	un'altra	_	0
85	_	altra	0
86	persona	persona	1
87	e	e	1
88	è	è	1
89	fatta	fatta	1
90	copisteria	copisteria	1
91	ok	ok	1
92	poi	poi	1
93	io	io	1
94	sono	sono	1
95	da	da	1
96	terza	terza	1
97	mano	mano	1
98	che	che	1
99	andando	andando	1
100	avanti	avanti	1
101	_	mh	0
102	_	mh	0
103	ok	ok	1
104	_	mh	0
105	noi	noi	1
106	siamo	siamo	1
107	venuti	venuti	1
108	qui	qui	1
109	a	a	1
110	chiedere	chiedere	1
111	a	a	1
112	te	te	1
113	la	la	1
114	disponibilità	disponibilità	1
115	perché	perché	1
116	_	il-	0
117	la	_	0
118	_	l-la	0
119	verità	verità	1
120	è	è	1
121	che	che	1
122	siamo	siamo	1
123	andati	andati	1
124	alla	alla	1
125	copisteria	copisteria	1
126	di	di	1
127	via	via	1
128	del	del	1
129	guasto	guasto	1
130	_	sì	0
131	a	a	1
132	chiedere	chiedere	1
133	_	mh	0
134	e	e	1
135	i	i	1
136	ragazzi	ragazzi	1
137	ci	ci	1
138	hanno	hanno	1
139	detto	detto	1
140	che	che	1
141	dovremmo	dovremmo	1
142	assolutamente	assolutamente	1
143	venire	venire	1
144	da	da	1
145	te	te	1
146	beh	beh	1
147	_	eh	0
148	sì	sì	1
149	perché	perché	1
150	loro	loro	1
151	_	non	0
152	_	è	0
153	non	non	1
154	è	è	1
