0	bene	bene	1
1	allora	allora	1
2	intanto	intanto	1
3	ero	ero	1
4	curiosa	curiosa	1
5	di	di	1
6	sapere	sapere	1
7	da	da	1
8	quanto	quanto	1
9	tempo	tempo	1
10	_	c'	0
11	c'è	_	0
12	_	è	0
13	questo	questo	1
14	negozio	negozio	1
15	perché	perché	1
16	io	io	1
17	sono	sono	1
18	di	di	1
19	qui	qui	1
20	e	e	1
21	frequento	frequento	1
22	un	un	1
23	po'	po'	1
24	questa	questa	1
25	zona	zona	1
26	ma	ma	1
27	non	non	1
28	_	l'	0
29	l'avevo	_	0
30	_	avevo	0
31	mai	mai	1
32	visto	visto	1
33	no	no	1
34	_	{P}	0
35	_	eh	0
36	non	non	1
37	è	è	1
38	così	così	1
39	stranamente	stranamente	1
40	questo	questo	1
41	negozio	negozio	1
42	_	{P}	0
43	è	è	1
44	già	già	1
45	_	{P}	0
46	da	da	1
47	22	_	0
48	_	ventidue	0
49	anni	anni	1
50	ok	_	0
51	quindi	_	0
52	non	_	0
53	è	_	0
54	nuovo	_	0
55	_	okay	0
56	sono	sono	1
57	qui	qui	1
58	da	da	1
59	6	_	0
60	_	sei	0
61	anni	anni	1
62	no	no	1
63	no	no	1
64	no	_	0
65	_	n-	0
66	questo	questo	1
67	qua	qua	1
68	non	non	1
69	è	è	1
70	nuovo	nuovo	1
71	_	è	0
72	di	di	1
73	prima	prima	1
74	era	era	1
75	una	una	1
76	_	calatrice	0
77	_	vaiesi	0
78	_	quindi	0
79	casa	_	0
80	_	non	0
81	d'autrice	_	0
82	_	è	0
83	vaisi	_	0
84	_	nuovo	0
85	poi	poi	1
86	hanno	hanno	1
87	chiuso	chiuso	1
88	allora	allora	1
89	_	ci	0
90	già	_	0
91	_	ha	0
92	comprato	comprato	1
93	_	un'	0
94	un'altra	_	0
95	_	altra	0
96	persona	persona	1
97	e	e	1
98	è	_	0
99	_	ha	0
100	fatta	fatta	1
101	copisteria	copisteria	1
102	ok	_	0
103	_	okay	0
104	poi	poi	1
105	io	io	1
106	sono	sono	1
107	da	da	1
108	terza	terza	1
109	mano	mano	1
110	che	che	1
111	_	i	0
112	andando	andando	1
113	avanti	avanti	1
114	_	mh	0
115	_	mh	0
116	_	okay	0
117	ok	_	0
118	_	mh	0
119	noi	noi	1
120	siamo	_	0
121	_	siam	0
122	venuti	_	0
123	_	venute	0
124	qui	qui	1
125	a	a	1
126	chiedere	chiedere	1
127	a	a	1
128	te	te	1
129	la	la	1
130	disponibilità	disponibilità	1
131	perché	perché	1
132	_	il	0
133	_	la	0
134	_	il	0
135	la	la	1
136	verità	verità	1
137	è	è	1
138	che	che	1
139	siamo	siamo	1
140	andati	andati	1
141	alla	alla	1
142	copisteria	copisteria	1
143	di	di	1
144	via	via	1
145	del	del	1
146	guasto	guasto	1
147	_	sì	0
148	a	a	1
149	chiedere	chiedere	1
150	_	mh	0
151	_	mh	0
152	e	e	1
153	i	i	1
154	ragazzi	ragazzi	1
155	ci	ci	1
156	hanno	hanno	1
157	detto	detto	1
158	_	{P}	0
159	che	che	1
160	dovremmo	_	0
161	_	dovevamo	0
162	assolutamente	assolutamente	1
163	venire	venire	1
164	da	da	1
165	te	te	1
166	beh	beh	1
167	_	eh	0
168	sì	sì	1
169	perché	perché	1
170	loro	loro	1
171	_	non	0
172	_	è	0
173	non	non	1
174	è	è	1
175	_	un	0
176	abbastanza	_	0
177	_	abbasta-	0
178	cioè	cioè	1
179	loro	loro	1
180	non	non	1
181	loro	loro	1
182	sono	sono	1
183	bravi	bravi	1
184	ma	ma	1
185	non	non	1
186	sono	sono	1
187	bravi	bravi	1
188	per	per	1
189	rispondere	rispondere	1
190	a	a	1
191	un	un	1
192	sacco	sacco	1
193	di	di	1
194	domande	domande	1
195	che	che	1
196	anche	anche	1
197	_	{P}	0
198	non	non	1
199	sono	sono	1
200	bravi	bravi	1
201	_	{P}	0
202	in	in	1
203	italiano	italiano	1
204	proprio	_	0
205	_	pro-	0
206	per	_	0
207	_	poco	0
208	parole	parole	1
209	_	sì	0
210	_	mh	0
211	_	okay	0
212	ok	_	0
213	_	{P}	0
214	quindi	quindi	1
215	_	forse	0
216	_	{P}	0
217	forse	forse	1
218	il	il	1
219	problema	problema	1
220	era	era	1
221	quello	quello	1
222	_	non	0
223	_	a-	0
224	non	non	1
225	abbiamo	abbiamo	1
226	capito	capito	1
227	se	se	1
228	erano	erano	1
229	preoccupati	preoccupati	1
230	perché	perché	1
231	no	no	1
232	non	non	1
233	sono	_	0
234	_	son-	0
235	non	non	1
236	è	è	1
237	preoccupati	preoccupati	1
238	però	però	1
239	_	eh	0
240	lo	lo	1
241	sai	sai	1
242	che	che	1
243	quando	quando	1
244	qualcuno	qualcuno	1
245	che	che	1
246	_	mh	0
247	non	non	1
248	capisce	capisce	1
249	cosa	cosa	1
250	è	è	1
251	la	la	1
252	domanda	domanda	1
253	e	e	1
254	quale	quale	1
255	che	che	1
256	è	è	1
257	la	_	0
258	_	ras-	0
259	risposta	risposta	1
260	che	che	1
261	sta	sta	1
262	_	mh	0
263	_	mh	0
264	facendo	facendo	1
265	in	in	1
266	_	un'	0
267	un'altra	_	0
268	_	altra	0
269	lingua	lingua	1
270	che	che	1
271	lui	lui	1
272	non	non	1
273	è	è	1
274	abbastanza	abbastanza	1
275	_	brava	0
276	allora	allora	1
277	è	è	1
278	un	_	0
279	_	una	0
280	problema	problema	1
281	_	per	0
282	_	mh	0
283	_	mh	0
284	_	mh	0
285	_	mh	0
286	_	mh	0
287	perciò	_	0
288	_	mh	0
289	che	_	0
290	_	per	0
291	è	_	0
292	_	cioè	0
293	una	una	1
294	persona	persona	1
295	no	no	1
296	_	cioè	0
297	_	mh	0
298	_	mh	0
299	sì	sì	1
300	_	forse	0
301	_	ecco	0
302	_	perciò	0
303	_	che	0
304	_	fiù	0
305	forse	forse	1
306	è	è	1
307	stato	stato	1
308	per	per	1
309	quello	quello	1
310	_	sì	0
311	e	_	0
312	_	eh	0
313	stamattina	stamattina	1
314	noi	noi	1
315	siamo	siamo	1
316	andati	_	0
317	_	andate	0
318	in	in	1
319	_	eh	0
320	_	sì	0
321	_	zona	0
322	praticamente	praticamente	1
323	tutti	tutti	1
324	i	i	1
325	negozi	negozi	1
326	di	di	1
327	via	via	1
328	san	san	1
329	vitale	vitale	1
330	a	_	0
331	chiedere	_	0
332	sì	sì	1
333	_	{P}	0
334	nessuno	nessuno	1
335	che	che	1
336	non	non	1
337	ti	ti	1
338	ha	ha	1
339	detto	detto	1
340	che	che	1
341	_	c'	0
342	c'è	_	0
343	_	è	0
344	sì	sì	1
345	perché	perché	1
346	hanno	hanno	1
347	paura	paura	1
348	_	per	0
349	_	eh	0
350	perché	perché	1
351	_	a	0
352	_	chiedere	0
353	_	non	0
354	_	lo	0
355	_	s-	0
356	non	non	1
357	si	si	1
358	sa	sa	1
359	_	{P}	0
360	cosa	cosa	1
361	succederà	succederà	1
362	_	{P}	0
363	dopo	dopo	1
364	_	mh	0
365	_	mh	0
366	_	mh	0
367	infatti	infatti	1
368	sì	sì	1
369	quindi	quindi	1
370	_	{P}	0
371	vabbè	vabbè	1
372	ma	ma	1
373	noi	noi	1
374	abbiamo	abbiamo	1
375	provato	provato	1
376	ovviamente	ovviamente	1
377	_	sì	0
378	assolutamente	assolutamente	1
379	_	ehm	0
380	e	_	0
381	_	ma	0
382	invece	invece	1
383	_	assolutamente	0
384	tu	tu	1
385	vivi	vivi	1
386	in	in	1
387	italia	italia	1
388	_	da	0
389	da	da	1
390	sempre	sempre	1
391	_	da	0
392	da	da	1
393	alcuni	alcuni	1
394	anni	anni	1
395	_	mh	0
396	no	no	1
397	non	non	1
398	è	è	1
399	che	che	1
400	da	da	1
401	sempre	sempre	1
402	sì	sì	1
403	da	da	1
404	circa	circa	1
405	15	_	0
406	_	quindici	0
407	anni	anni	1
408	già	già	1
409	_	passati	0
410	_	okay	0
411	_	{ride}	0
412	_	sono	0
413	passato	_	0
414	_	mi	0
415	beh	beh	1
416	_	{P}	0
417	comunque	comunque	1
418	_	eh	0
419	_	parli	0
420	_	ben-	0
421	_	sì	0
422	_	mh	0
423	parli	parli	1
424	benissimo	benissimo	1
425	beh	beh	1
426	_	è	0
427	15	_	0
428	_	quindici	0
429	anni	anni	1
430	eh	eh	1
431	non	non	1
432	sono	sono	1
433	sì	sì	1
434	è	è	1
435	già	già	1
436	passata	passata	1
437	proprio	proprio	1
438	un	un	1
439	sé	_	0
440	o	_	0
441	_	se-	0
442	più	più	1
443	di	di	1
444	un	un	1
445	secolo	secolo	1
446	_	mh	0
447	ma	ma	1
448	hai	hai	1
449	studiato	studiato	1
450	da	da	1
451	solo	solo	1
452	_	o	0
453	no	no	1
454	non	_	0
455	_	cioè	0
456	è	_	0
457	_	no	0
458	che	_	0
459	_	non	0
460	hai	_	0
461	_	i	0
462	studiato	studiato	1
463	da	da	1
464	solo	solo	1
465	_	è	0
466	che	che	1
467	ho	ho	1
468	fatto	fatto	1
469	anche	anche	1
470	superiore	_	0
471	_	superiori	0
472	qui	qui	1
473	ah	ah	1
474	ok	_	0
475	_	okay	0
476	quindi	quindi	1
477	_	sei	0
478	sei	sei	1
479	giovanissimo	giovanissimo	1
480	_	sì	0
481	sì	sì	1
482	giovanissimo	giovanissimo	1
483	perché	perché	1
484	_	{P}	0
485	io	io	1
486	_	non	0
487	non	non	1
488	voglio	voglio	1
489	chiedere	chiedere	1
490	_	giusto	0
491	che	_	0
492	_	l'	0
493	sta	_	0
494	_	età	0
495	perché	perché	1
496	non	non	1
497	no	no	1
498	no	no	1
499	assolutamente	assolutamente	1
500	non	_	0
501	deve	_	0
502	_	da	0
503	chiedere	chiedere	1
504	_	anche	0
505	però	però	1
506	_	{P}	0
507	_	eh	0
508	_	{P}	0
509	sei	sei	1
510	andato	andato	1
511	a	a	1
512	scuola	scuola	1
513	qui	qui	1
514	quindi	quindi	1
515	sì	sì	1
516	che	che	1
517	scuola	scuola	1
518	hai	hai	1
519	fatto	fatto	1
520	perché	perché	1
521	_	anch'	0
522	anch'io	_	0
523	_	io	0
524	sono	sono	1
525	andata	andata	1
526	a	a	1
527	scuola	scuola	1
528	qui	qui	1
529	_	un	0
530	un	un	1
531	po'	po'	1
532	di	di	1
533	anni	anni	1
534	fa	fa	1
535	ma	ma	1
536	esattamente	esattamente	1
537	primo	_	0
538	_	pimo	0
539	eh	eh	1
540	ho	_	0
541	andato	andato	1
542	il	il	1
543	_	mh	0
544	manfredi	_	0
545	_	manfiri	0
546	tanari	tanari	1
547	ok	_	0
548	_	okay	0
549	che	che	1
550	per	per	1
551	la	la	1
552	lingua	lingua	1
553	che	che	1
554	non	non	1
555	ho	_	0
556	riuscito	riuscito	1
557	a	a	1
558	passare	passare	1
559	e	_	0
560	poi	poi	1
561	_	eh	0
562	ci	_	0
563	_	cioè	0
564	avevo	_	0
565	_	ho	0
566	trasferito	trasferito	1
567	in	in	1
568	fioravanti	fioravanti	1
569	ok	_	0
570	_	okay	0
571	adesso	adesso	1
572	è	è	1
573	vellosi	vellosi	1
574	fioravanti	fioravanti	1
575	_	mh	0
576	_	mh	0
577	no	_	0
578	_	però	0
579	quando	quando	1
580	ero	ero	1
581	fatto	fatto	1
582	_	era	0
583	era	era	1
584	solo	solo	1
585	il	il	1
586	fioravanti	fioravanti	1
587	_	e	0
588	_	mh	0
589	_	mh	0
590	ok	_	0
591	_	okay	0
592	e	e	1
593	che	che	1
594	indirizzo	indirizzo	1
595	ha	ha	1
596	che	che	1
597	non	non	1
598	lo	lo	1
599	so	so	1
600	no	no	1
601	era	era	1
602	_	boh	0
603	_	cioè	0
604	_	aveva	0
605	adesso	adesso	1
606	_	eh	0
607	mi	mi	1
608	sembrava	sembrava	1
609	di	di	1
610	_	mh	0
611	casalecchio	casalecchio	1
612	ok	_	0
613	ok	_	0
614	_	okay	0
615	ok	_	0
616	_	okay	0
617	vellosi	_	0
618	_	diversi	0
619	fioravanti	fioravanti	1
620	ok	_	0
621	ok	_	0
622	_	okay	0
623	ok	_	0
624	_	okay	0
625	ho	ho	1
626	capito	capito	1
627	_	s-	0
628	e	e	1
629	_	che	0
630	che	che	1
631	cosa	cosa	1
632	si	si	1
633	studia	studia	1
634	_	al	0
635	_	mh	0
636	_	velezzi	0
637	_	sì	0
638	tecnico	tecnico	1
639	tecnico	tecnico	1
640	_	tecni-	0
641	e	e	1
642	_	di	0
643	_	professionale	0
644	elettrica	elettrica	1
645	elettronica	elettronica	1
646	informatica	_	0
647	no	no	1
648	_	eh	0
649	là	là	1
650	ero	_	0
651	_	erava	0
652	no	no	1
653	_	eh	0
654	sì	sì	1
655	perché	perché	1
656	ci	ci	1
657	sono	sono	1
658	di	di	1
659	informatica	informatica	1
660	_	eh	0
661	meccanica	meccanica	1
662	e	_	0
663	_	eh	0
664	idraulica	idraulica	1
665	con	con	1
666	_	automeccanica	0
667	_	informatica	0
668	_	mh	0
669	auto-meccanica	_	0
670	_	mh	0
671	ok	_	0
672	_	mh	0
673	e	_	0
674	_	okay	0
675	quando	_	0
676	_	ha	0
677	hai	_	0
678	_	fatta	0
679	fatto	_	0
680	_	ili-	0
681	cioè	cioè	1
682	auto-meccanico	_	0
683	_	automeccanica	0
684	con	con	1
685	idraulica	idraulica	1
686	_	mh	0
687	_	mh	0
688	_	mh	0
689	e	e	1
690	quando	quando	1
691	hai	hai	1
692	finito	finito	1
693	di	di	1
694	studiare	studiare	1
695	sei	sei	1
696	venuto	venuto	1
697	a	a	1
698	lavorare	_	0
699	no	_	0
700	ero	_	0
701	cercato	_	0
702	il	_	0
703	lavoro	_	0
704	che	_	0
705	di	_	0
706	varie	_	0
707	parti	_	0
708	dell'officina	_	0
709	per	_	0
710	oficina	_	0
711	di	_	0
712	auto	_	0
713	assolutamente	_	0
714	non	_	0
715	il	_	0
716	moto	_	0
717	era	_	0
718	officina	_	0
719	di	_	0
720	auto	_	0
721	però	_	0
722	visto	_	0
723	che	_	0
724	il	_	0
725	settore	_	0
726	ci	_	0
727	sono	_	0
728	un	_	0
729	sacco	_	0
730	di	_	0
731	lavoro	_	0
732	però	_	0
733	non	_	0
734	ho	_	0
735	trovato	_	0
736	il	_	0
737	punto	_	0
738	come	_	0
739	ero	_	0
740	cercavo	_	0
741	poi	_	0
742	ho	_	0
743	cercato	_	0
744	d'altra	_	0
745	parte	_	0
746	dove	_	0
747	ho	_	0
748	trovato	_	0
749	c'è	_	0
750	rientrato	_	0
751	perché	_	0
752	in	_	0
753	lavorare	lavorare	1
754	sì	_	0
755	sì	_	0
756	sì	_	0
757	e	_	0
758	quindi	_	0
759	vivere	_	0
760	a	_	0
761	bologna	_	0
762	ti	_	0
763	piace	_	0
764	assolutamente	_	0
765	assolutamente	_	0
766	ma	_	0
767	il	_	0
768	problema	_	0
769	è	_	0
770	che	_	0
771	non	_	0
772	trovi	_	0
773	a	_	0
774	casa	_	0
775	in	_	0
776	bologna	_	0
777	è	_	0
778	una	_	0
779	fondamentale	_	0
780	ce	_	0
781	lo	_	0
782	stanno	_	0
783	dicendo	_	0
784	tu	_	0
785	non	_	0
786	è	_	0
787	che	_	0
788	solo	_	0
789	in	_	0
790	bologna	_	0
791	anche	_	0
792	guarda	_	0
793	che	_	0
794	settimana	_	0
795	di	_	0
796	scorso	_	0
797	ho	_	0
798	visto	_	0
799	un	_	0
800	intervento	_	0
801	da	_	0
802	un	_	0
803	proprio	_	0
804	giornalista	_	0
805	della	_	0
806	firenze	_	0
807	è	_	0
808	lo	_	0
809	stesso	_	0
810	problema	_	0
811	lo	_	0
812	stesso	_	0
813	problema	_	0
814	cioè	_	0
815	poi	_	0
816	bologna	_	0
817	non	_	0
818	è	_	0
819	che	_	0
820	è	_	0
821	iniziato	_	0
822	questo	_	0
823	problema	_	0
824	da	_	0
825	oggi	_	0
826	e	_	0
827	se	_	0
828	tu	_	0
829	parli	_	0
830	se	_	0
831	tu	_	0
832	chiedi	_	0
833	una	_	0
834	persona	_	0
835	anziana	_	0
836	che	_	0
837	è	_	0
838	finita	_	0
839	di	_	0
840	studiare	_	0
841	cioè	_	0
842	come	_	0
843	stranero	_	0
844	come	_	0
845	me	_	0
846	come	_	0
847	stranero	_	0
848	significa	_	0
849	che	_	0
850	sei	_	0
851	venuto	_	0
852	da	_	0
853	un'altra	_	0
854	città	_	0
855	tipo	_	0
856	anche	_	0
857	napoli	_	0
858	è	_	0
859	giù	_	0
860	parliamo	_	0
861	anche	_	0
862	roma	_	0
863	guarda	_	0
864	che	_	0
865	se	_	0
866	chiedi	_	0
867	che	_	0
868	quanti	_	0
869	anni	_	0
870	sei	_	0
871	in	_	0
872	bologna	_	0
873	tra	_	0
874	parentesi	_	0
875	dici	_	0
876	guarda	_	0
877	che	_	0
878	io	_	0
879	ho	_	0
880	laureato	_	0
881	qui	_	0
882	ti	_	0
883	raccolta	_	0
884	la	_	0
885	storia	_	0
886	come	_	0
887	era	_	0
888	prima	_	0
889	e	_	0
890	trattava	_	0
891	come	_	0
892	stranero	_	0
893	cioè	_	0
894	non	_	0
895	dalla	_	0
896	casa	_	0
897	non	_	0
898	c'è	_	0
899	proprio	_	0
900	era	_	0
901	il	_	0
902	bologna	_	0
903	ha	_	0
904	questa	_	0
905	storia	_	0
906	da	_	0
907	storia	_	0
908	c'è	_	0
909	proprio	_	0
910	da	_	0
911	100	_	0
912	anni	_	0
913	mi	_	0
914	sembrava	_	0
915	ancora	_	0
916	più	_	0
917	sì	_	0
918	è	_	0
919	possibile	_	0
920	sì	_	0
921	sì	_	0
922	non	_	0
923	so	_	0
924	se	_	0
925	tu	_	0
