0	ci	ci	1
1	sono	sono	1
2	delle	delle	1
3	università	università	1
4	sì	sì	1
5	no	no	1
6	le	le	1
7	università	università	1
8	è	è	1
9	proprio	proprio	1
10	in	in	1
11	città	città	1
12	_	o	0
13	_	più	0
14	_	nella	0
15	_	capita-	0
16	_	ok	0
17	_	{P}	0
18	ok	ok	1
19	ok	ok	1
20	ok	ok	1
21	_	e	0
22	_	s-	0
23	in	in	1
24	capitale	capitale	1
25	in	in	1
26	capitale	capitale	1
27	ok	ok	1
28	e	e	1
29	se	se	1
30	devi	devi	1
31	_	di	0
32	_	in	0
33	_	capitale	0
34	e	_	0
35	_	solo	0
36	quindi	_	0
37	_	che	0
38	va	va	1
39	be'	be'	1
40	adesso	adesso	1
41	faccio	faccio	1
42	finire	finire	1
43	qui	qui	1
44	_	sì	0
45	detali	detali	1
46	così	così	1
47	che	che	1
48	ci	ci	1
49	vengono	vengono	1
50	vengono	vengono	1
51	abbastanza	abbastanza	1
52	bene	bene	1
53	no	no	1
54	sì	sì	1
55	_	{P}	0
56	per	_	0
57	_	proviamo	0
58	non	_	0
59	_	vedere	0
60	vederse	_	0
61	_	se	0
62	allora	allora	1
63	dimmi	dimmi	1
64	la	la	1
65	capitale	capitale	1
66	è	è	1
67	molto	molto	1
68	grande	grande	1
69	la	la	1
70	capitale	capitale	1
71	è	è	1
72	molto	molto	1
73	grande	grande	1
74	_	{P}	0
75	_	e	0
76	_	trecentosei	0
77	_	virgola	0
78	_	quattro	0
79	_	e	0
80	3064	_	0
81	_	chilometri	0
82	km²	_	0
83	_	quadrati	0
84	ok	ok	1
85	e	e	1
86	popolazione	popolazione	1
87	_	in	0
88	_	e	0
89	14	_	0
90	_	quattordici	0
91	milioni	milioni	1
92	_	quattordici	0
93	_	punto	0
94	144	_	0
95	_	quattro	0
96	milioni	milioni	1
97	cioè	cioè	1
98	bologna	bologna	1
99	è	è	1
100	350000	_	0
101	_	trecentocinquantamila	0
102	persone	persone	1
103	beh	beh	1
104	350000	_	0
105	_	trecentocinquantamila	0
106	ma	ma	1
107	devo	devo	1
108	essere	essere	1
109	quanto	quanto	1
110	grande	grande	1
111	bologna	bologna	1
112	_	eh	0
113	_	{ride}	0
114	non	non	1
115	so	so	1
116	di	di	1
117	_	kilometri	0
118	km²	_	0
119	_	quadrati	0
120	però	però	1
121	decisamente	decisamente	1
122	più	più	1
123	grande	grande	1
124	_	{ride}	0
125	ma	ma	1
126	infatti	infatti	1
127	mi	mi	1
128	sembrava	sembrava	1
129	impossibile	impossibile	1
130	ma	ma	1
131	il	il	1
132	ragazzo	ragazzo	1
133	ieri	ieri	1
134	_	insisteva	0
135	_	{P}	0
136	_	infa-	0
137	e	e	1
138	guarda	guarda	1
139	che	che	1
140	bologna	_	0
141	_	bolonia	0
142	è	è	1
143	_	centoqua-	0
144	_	centoquaranta	0
145	_	eh	0
146	_	{P}	0
147	_	sì	0
148	_	centoquaranta	0
149	_	virgola	0
150	140	_	0
151	_	nove	0
152	1409	_	0
153	_	kilometri	0
154	km²	_	0
155	_	quadrati	0
156	che	che	1
157	separiamo	separiamo	1
158	fino	fino	1
159	a	a	1
160	da	_	0
161	_	damh	0
162	dove	dove	1
163	di	di	1
164	pilastro	pilastro	1
165	_	fino	0
166	_	a	0
167	_	di	0
168	_	mh	0
169	_	mh	0
170	fino	fino	1
171	a	a	1
172	_	dimh	0
173	tipo	tipo	1
174	casalecchio	casalecchio	1
175	la	la	1
176	barca	barca	1
177	_	x	0
178	_	sì	0
179	sì	sì	1
180	proprio	proprio	1
181	_	sì	0
182	casalecchio	casalecchio	1
