whisper	human	match	error
_	mh	0	MISS
_	negli	0	MISS
_	ultimi	0	MISS
_	anni	0	MISS
_	secondo	0	MISS
_	me	0	MISS
_	è	0	MISS
_	aum-	0	interrupted
infatti	infatti	1	
il	il	1	
fatto	fatto	1	
che	che	1	
ha	_	0	err_category
_	è	0	err_category
aumentato	aumentato	1	
il	il	1	
turismo	turismo	1	
ha	ha	1	
impattato	impattato	1	
molto	molto	1	
_	anche	0	MISS
_	quello	0	MISS
_	con	0	MISS
_	gli	0	MISS
_	affitti	0	MISS
_	e	0	MISS
a	_	0	ADD
_	può	0	MISS
tutti	_	0	ADD
_	essere	0	MISS
e'	_	0	typo
_	è	0	typo
VERO	VERO	1	
è	è	1	
VERO	VERO	1	
perché	perché	1	
dicevano	_	0	ADD
_	insomma	0	MISS
che	_	0	ADD
_	qui	0	MISS
molte	molte	1	
persone	persone	1	
molti	molti	1	
proprietari	_	0	typo
_	prorietari	0	typo
hanno	hanno	1	
messo	messo	1	
le	le	1	
case	case	1	
su	su	1	
_	airbeb	0	nome proprio sconosciuto
airbnb	_	0	nome proprio sconosciuto
_	per	0	MISS
per	per	1	
il	il	1	
turismo	turismo	1	
_	mh	0	MISS
_	mh	0	MISS
e	e	1	
tutte	tutte	1	
queste	queste	1	
case	case	1	
sono	sono	1	
state	state	1	
tolte	tolte	1	
dal	dal	1	
mercato	mercato	1	
della	della	1	
gente	gente	1	
che	che	1	
ci	ci	1	
deve	deve	1	
vivere	vivere	1	
_	insomma	0	MISS
_	mh	0	MISS
_	mh	0	MISS
_	{P}	0	nonverbal
e'	_	0	typo
_	è	0	typo
VERO	VERO	1	
quindi	quindi	1	
sicuramente	sicuramente	1	
il	il	1	
turismo	turismo	1	
ha	ha	1	
influito	influito	1	
anche	anche	1	
_	su	0	MISS
_	questo	0	MISS
su	su	1	
questa	questa	1	
cosa	cosa	1	
qua	qua	1	
però	però	1	
_	{P}	0	nonverbal
capisco	capisco	1	
anche	anche	1	
che	che	1	
_	vogliano	0	flessione
_	x	0	unintelligible
_	incentivare	0	MISS
_	il	0	MISS
_	turismo	0	MISS
vogliono	_	0	flessione
_	{ride}	0	nonverbal
eh	eh	1	
sì	sì	1	
anche	anche	1	
_	loro	0	MISS
_	sì	0	MISS
_	sì	0	MISS
_	sì	0	MISS
il	_	0	ADD
_	però	0	MISS
turismo	_	0	ADD
_	e	0	MISS
e	e	1	
invece	invece	1	
per	per	1	
il	il	1	
quanto	quanto	1	
riguarda	riguarda	1	
il	il	1	
lavoro	lavoro	1	
pensi	pensi	1	
che	_	0	ADD
sia	sia	1	
un	un	1	
buon	buon	1	
posto	posto	1	
in	in	1	
cui	cui	1	
lavorare	lavorare	1	
cioè	cioè	1	
_	s-	0	interrupted
secondo	secondo	1	
te	te	1	
si	si	1	
trova	trova	1	
lavoro	lavoro	1	
ah	ah	1	
ok	_	0	grafia
_	okay	0	grafia
come	come	1	
sì	sì	1	
no	_	0	ADD
_	a	0	MISS
