whisper;human;match;error
persone;persone;1;
che;che;1;
magari;magari;1;
poi;_;0;approssimazione
voi;_;0;approssimazione
_;puoi;0;approssimazione
avete;_;0;flessione
_;aver;0;flessione
incontrato;incontrato;1;
_;un;0;MISS
_;po';0;MISS
_;bah;0;grafia
_;eh;0;MISS
_;{P};0;nonverbal
_;sì;0;MISS
beh;_;0;grafia
_;cioè;0;MISS
è;è;1;
sempre;sempre;1;
pieno;pieno;1;
di;di;1;
persone;persone;1;
che;che;1;
fanno;fanno;1;
le;_;0;parola sconosciuta
_;emosina;0;parola sconosciuta
emosine;_;0;parola sconosciuta
_;sotto;0;MISS
sulle;_;0;ADD
_;i;0;MISS
portici;portici;1;
_;mhmh;0;MISS
soprattutto;soprattutto;1;
se;se;1;
vieni;vieni;1;
in;_;0;nome proprio sconosciuto
pendenza;_;0;nome proprio sconosciuto
_;indipendenza;0;nome proprio sconosciuto
ce;ce;1;
ne;ne;1;
sono;sono;1;
diversi;diversi;1;
_;sì;0;MISS
_;è;0;MISS
_;VERO;0;MISS
anche;anche;1;
sotto;sotto;1;
i;i;1;
portici;portici;1;
di;di;1;
via;via;1;
_;{P};0;nonverbal
_;di;0;MISS
_;viale;0;nome proprio sconosciuto
_;{P};0;nonverbal
le;_;0;nome proprio sconosciuto
_;mh;0;MISS
masini;masini;1;nome proprio sconosciuto
perché;perché;1;
io;io;1;
passo;passo;1;
spesso;spesso;1;
di;di;1;
lì;lì;1;
_;ehm;0;MISS
però;però;1;
a;a;1;
parte;parte;1;
insomma;insomma;1;
persone;persone;1;
che;che;1;
fanno;fanno;1;
le;_;0;parola sconosciuta
_;l';0;parola sconosciuta
emosine;_;0;parola sconosciuta
_;elemosina;0;parola sconosciuta
si;si;1;
_;mhmh;0;MISS
_;mh;0;MISS
_;ah;0;MISS
_;{P};0;nonverbal
incontri;incontri;1;
anche;anche;1;
molte;molte;1;
persone;persone;1;
che;che;1;
ti;ti;1;
fermano;fermano;1;
per;per;1;
_;sì;0;MISS
_;{ride};0;nonverbal
_;esatto;0;MISS
_;chiederti;0;MISS
_;di;0;MISS
fare;fare;1;
_;beneficenza;0;parola sconosciuta
veneficienza;_;0;parola sconosciuta
_;{ride};0;nonverbal
le;le;1;
classiche;classiche;1;
persone;persone;1;
che;che;1;
sono;sono;1;
sotto;sotto;1;
i;i;1;
portici;portici;1;
_;ehm;0;MISS
a;a;1;
volte;volte;1;
_;{P};0;nonverbal
persone;persone;1;
famose;famose;1;
di;_;0;ADD
_;ogni;0;MISS
tanto;tanto;1;
_;una;0;MISS
hanno;_;0;ADD
_;volta;0;MISS
incontrato;incontrato;1;
piff;piff;1;
ad;ad;1;
esempio;esempio;1;
_;ah;0;MISS
sì;sì;1;
sì;sì;1;
sì;sì;1;
_;eh;0;MISS
_;so;0;MISS
_;che;0;MISS
_;era;0;MISS
in;in;1;
un;un;1;
hotel;hotel;1;
che;che;1;
è;è;1;
lì;lì;1;
su;su;1;
di;_;0;ADD
_;via;0;nome proprio sconosciuto
indipendenti;_;0;nome proprio sconosciuto
_;indipendenza;0;nome proprio sconosciuto
anche;anche;1;
i;_;0;nome proprio sconosciuto
cremonini;cremonini;1;nome proprio sconosciuto
dicono;dicono;1;
che;che;1;
si;si;1;
aspettano;aspettano;1;
eh;eh;1;
non;non;1;
ho;ho;1;
ancora;ancora;1;
incontrato;incontrato;1;
i;i;1;
cremonini;cremonini;1;
_;{ride};0;nonverbal
_;x;0;unintelligible
_;neanche;0;MISS
_;io;0;MISS
_;x;0;unintelligible
però;però;1;
_;x;0;unintelligible
anche;_;0;ADD
_;sì;0;MISS
tre;tre;1;
anni;anni;1;
perché;perché;1;
io;io;1;
sono;sono;1;
_;dal;0;MISS
_;duemiladiciotto;1;
da;_;0;ADD
_;diciannove;0;MISS
2018;_;1;
_;sì;0;MISS
tre;tre;1;
anni;anni;1;
che;che;1;
sono;sono;1;
lì;lì;1;
non;non;1;
ho;ho;1;
ancora;ancora;1;
incontrato;_;0;approssimazione
i;_;0;nome proprio sconosciuto
_;incrociato;0;approssimazione
cremonini;cremonini;1;nome proprio sconosciuto
beh;beh;1;
magari;magari;1;
_;dai;0;MISS
_;quest';1;
_;anno;1;
_;sarà;1;
da;_;0;ADD
_;{ride};0;nonverbal
quest'anno;_;1;
_;l';0;MISS
saranno;_;1;
_;anno;0;approssimazione
buono;buono;1;
_;{ride};0;nonverbal
_;ma;0;MISS
_;sì;0;MISS
_;x;0;unintelligible
_;infatti;0;MISS
e;e;1;
anche;anche;1;
_;ehm;0;MISS
_;{P};0;nonverbal
per;per;1;
il;il;1;
fatto;fatto;1;
che;che;1;
hanno;hanno;1;
messo;messo;1;
le;le;1;
luci;luci;1;
con;con;1;
le;le;1;
scritte;scritte;1;
delle;delle;1;
canzoni;canzoni;1;
cosa;cosa;1;
ne;ne;1;
pensi;pensi;1;
_;ah;0;MISS
_;bello;0;MISS
quello;quello;1;
_;mh;0;MISS
mi;mi;1;
è;è;1;
piaciuto;piaciuto;1;
molto;molto;1;
sì;sì;1;
sì;sì;1;
quello;quello;1;
si;_;0;approssimazione
_;ci;0;approssimazione
stava;stava;1;
secondo;secondo;1;
me;me;1;
anche;_;0;ADD
_;x;0;unintelligible
che;che;1;
la;_;0;ADD
_;dai;0;MISS
cremonini;cremonini;1;
comunque;comunque;1;
è;è;1;
il;il;1;
cantante;cantante;1;
di;di;1;
_;bologn-;0;nome proprio sconosciuto
bro;_;0;nome proprio sconosciuto
_;cioè;0;MISS
a;a;1;
parte;parte;1;
lucio;lucio;1;
dalla;dalla;1;
ovviamente;ovviamente;1;
_;però;0;MISS
_;bello;0;MISS
_;sì;0;MISS
che;che;1;
poi;poi;1;
hanno;hanno;1;
messo;messo;1;
anche;anche;1;
le;le;1;
sue;sue;1;
il;il;1;
fatto;fatto;1;
che;che;1;
poi;poi;1;
_;han;0;elisione
_;messo;0;MISS
hanno;_;0;elisione
_;han;0;MISS
messo;messo;1;
anche;anche;1;
le;le;1;
sue;sue;1;
_;sì;0;MISS
_;sì;0;MISS
_;eh;0;MISS
però;però;1;
ci;ci;1;
_;sta;0;MISS
sa;_;0;ADD
_;è;0;MISS
il;il;1;
cantante;cantante;1;
moderno;moderno;1;
diciamo;diciamo;1;
_;più;0;MISS
_;{P};0;nonverbal
più;più;1;
bolognese;bolognese;1;
_;mhmh;0;MISS
anche;anche;1;
secondo;secondo;1;
me;me;1;
e;e;1;
invece;invece;1;
il;il;1;
tuo;tuo;1;
posto;posto;1;
del;del;1;
cuore;cuore;1;
di;di;1;
bologna;bologna;1;
_;carino;0;MISS
non;non;1;
so;so;1;
anche;anche;1;
solo;solo;1;
un;un;1;
bar;bar;1;
_;{P};0;nonverbal
a;a;1;
cui;cui;1;
sei;sei;1;
particolarmente;particolarmente;1;
affezionata;affezionata;1;
_;mh;0;MISS
_;mh;0;MISS
_;eh;0;MISS
forse;forse;1;
_;mh;0;MISS
_;{P};0;nonverbal
mangiare;mangiare;1;
un;un;1;
gelato;gelato;1;
seduti;seduti;1;
