whisper;human;match;error
va be';va be';1;
era;era;1;
leggera;leggera;1;
però;però;1;
no;no;1;
no;no;1;
no;no;1;
è;è;1;
vero;vero;1;
_;sì;0;MISS
non;non;1;
era;era;1;
pesantissima;pesantissima;1;
per;per;1;
niente;niente;1;
_;l';1;
l'unica;_;1;
_;unica;1;
cosa;cosa;1;
ho;ho;1;
esagerato;esagerato;1;
un;un;1;
po';po';1;
con;con;1;
_;l';1;
l'olio;_;1;
_;olio;1;
forse;forse;1;
ma;ma;1;
_;nell';1;
nell'impasto;_;1;
_;impasto;1;
no;no;1;
fuori;fuori;1;
fuori;fuori;1;
_;nell';1;
nell'impasto;_;1;
_;impasto;1;
ci;ci;1;
l';_;0;ADD
ho;ho;1;
messo;messo;1;
il;il;1;
giusto;giusto;1;
_;nella;0;MISS
_;padella;0;MISS
però;però;1;
in;in;1;
padella;padella;1;
mi;_;0;ADD
che;_;0;ADD
_;x;0;unintelligible
ha;ha;1;
detto;detto;1;
metti;metti;1;
_;quello;0;MISS
_;là;0;MISS
_;l';1;
l'olio;_;1;
_;olio;1;
da;da;1;
friggere;friggere;1;
così;così;1;
vengono;vengono;1;
meglio;meglio;1;
ho;ho;1;
detto;detto;1;
ok;okay;0;grafia
e;e;1;
ho;ho;1;
fatto;fatto;1;
però;però;1;
praticamente;praticamente;1;
ho;ho;1;
messo;messo;1;
_;tutto;0;MISS
_;l-;0;interrupted
tutto;tutto;1;
il;il;1;
fondo;fondo;1;
della;della;1;
padella;padella;1;
era;era;1;
pieno;pieno;1;
di;di;1;
olio;olio;1;
io;io;1;
volevo;volevo;1;
mettere;mettere;1;
un;un;1;
filo;filo;1;
_;sai;0;MISS
per;per;1;
farle;farle;1;
venire;venire;1;
mezzi;mezzi;1;
tra;tra;1;
_;cioè;0;MISS
cotti;cotti;1;
nella;nella;1;
padella;padella;1;
unta;unta;1;
invece;invece;1;
i;i;1;
primi;primi;1;
sono;sono;1;
venuti;venuti;1;
un;un;1;
po';po';1;
deep;deep;1;
fried;fried;1;
quasi;quasi;1;
_;{ride};0;nonverbal
_;{tossisce};0;nonverbal
beh;beh;1;
oggi;oggi;1;
abbiamo;abbiamo;1;
fatto;fatto;1;
colazione;colazione;1;
con;con;1;
_;pan-;0;interrupted
pancake;pancake;1;
con;con;1;
nutella;nutella;1;
è;è;1;
rimasto;rimasto;1;
un;un;1;
altro;altro;1;
pancake;pancake;1;
se;se;1;
vuoi;vuoi;1;
_;uh;0;MISS
_;x;0;unintelligible
mangi;mangiati;0;err_flessione
tu;tu;1;
il;il;1;
