0	per	per	1
1	4	_	0
2	_	quattro	0
3	no	no	1
4	un	un	1
5	chilo	chilo	1
6	e	_	0
7	700	_	0
8	_	settecento	0
9	grammi	grammi	1
10	di	di	1
11	pasta	pasta	1
12	eh	eh	1
13	vabbè	vabbè	1
14	_	ma	0
15	perché	perché	1
16	quello	quello	1
17	il	il	1
18	padre	padre	1
19	se	se	1
20	ne	ne	1
21	mangia	mangia	1
22	assai	assai	1
23	io	io	1
24	so	so	1
25	_	con	0
26	_	due	0
27	il	il	1
28	padre	padre	1
29	va	va	1
30	e	e	1
31	_	ne	0
32	_	mangia	0
33	ne	ne	1
34	mangia	mangia	1
35	una	una	1
36	scotella	_	0
37	_	scodella	0
38	di	di	1
39	insalata	insalata	1
40	_	eh	0
41	con	con	1
42	due	due	1
43	vasetti	vasetti	1
44	del	del	1
45	pesto	pesto	1
46	quello	quello	1
47	la	_	0
48	_	là	0
49	barilla	barilla	1
50	_	vabbè	0
51	_	grazie	0
52	_	co	0
53	_	settecento	0
54	_	grammi	0
55	_	di	0
56	_	pasta	0
57	_	rico-	0
58	ricotta	ricotta	1
59	e	e	1
60	noci	noci	1
61	non	non	1
62	contenta	contenta	1
63	il	il	1
64	fiordilatte	fiordilatte	1
65	dentro	dentro	1
66	non	non	1
67	contenta	contenta	1
68	i	_	0
69	_	il	0
70	parmigiano	parmigiano	1
71	sopra	sopra	1
72	e	e	1
73	lo	lo	1
74	stona	stona	1
75	no	_	0
76	_	non	0
77	contento	_	0
78	_	contenta	0
79	mi	mi	1
80	ha	ha	1
81	detto	detto	1
82	_	eh	0
83	se	se	1
84	c'avevo	_	0
85	_	c'	0
86	li	_	0
87	_	avevo	0
88	non	_	0
89	_	le	0
90	ci	_	0
91	_	noci	0
92	mettevo	mettevo	1
93	pure	pure	1
94	le	le	1
95	noci	noci	1
96	sopra	sopra	1
97	_	no	0
98	_	ah	0
99	no	no	1
100	che	che	1
101	bravo	bravo	1
102	ma	_	0
103	_	ua	0
104	mi	mi	1
105	piacevano	piacevano	1
106	tanto	tanto	1
107	quelle	quelle	1
108	zucchine	zucchine	1
109	le	le	1
110	avete	avete	1
111	mangiate	mangiate	1
112	tutte	tutte	1
113	_	mh	0
114	sorry	sorry	1
115	te	te	1
116	le	le	1
117	rifaccio	rifaccio	1
118	prima	prima	1
119	che	che	1
120	te	te	1
121	ne	ne	1
122	vai	vai	1
123	_	eh	0
124	_	{ride}	0
125	ma	_	0
126	_	prima	0
127	che	che	1
128	te	te	1
129	ne	ne	1
130	vai	vai	1
131	_	mh	0
132	_	dov'	0
133	dove	_	0
134	_	è	0
135	che	che	1
136	va	va	1
137	via	via	1
138	sai	sai	1
139	che	che	1
140	possiamo	possiamo	1
141	fare	fare	1
142	_	x	0
143	_	no	0
144	con	con	1
145	questo	_	0
146	zucchino	_	0
147	_	questa	0
148	una	_	0
149	_	zucchinona	0
150	gigante	gigante	1
151	che	che	1
152	tengo	tengo	1
153	la	la	1
154	vogliamo	vogliamo	1
155	rostire	_	0
156	_	arrostire	0
157	adesso	adesso	1
158	tipo	tipo	1
159	se	_	0
160	_	cioè	0
161	non	non	1
162	ce	ce	1
163	la	la	1
164	mangiamo	mangiamo	1
165	adesso	adesso	1
166	però	però	1
167	lo	lo	1
168	facciamo	facciamo	1
169	per	per	1
170	domani	domani	1
171	non	_	0
172	è	_	0
173	_	magari	0
174	va	va	1
175	bene	bene	1
176	ma	ma	1
177	perché	perché	1
178	la	la	1
179	zucchinona	zucchinona	1
180	_	non	0
181	la	_	0
182	_	l'	0
183	avevi	avevi	1
184	già	già	1
185	fatta	fatta	1
186	_	amore	0
187	_	erano	0
188	_	due	0
189	no	_	0
190	_	zucchinone	0
191	erano	erano	1
192	due	due	1
193	zucchinone	zucchinone	1
194	una	una	1
195	_	l'	0
196	l'ho	_	0
197	_	ho	0
198	fatta	fatta	1
199	_	l'	0
