0	per	per	1
1	4	_	0
2	_	quattro	0
3	no	no	1
4	un	un	1
5	chilo	chilo	1
6	e	e	1
7	700	_	0
8	_	settecento	0
9	grammi	grammi	1
10	di	di	1
11	pasta	pasta	1
12	eh	eh	1
13	vabbè	vabbè	1
14	perché	perché	1
15	quello	quello	1
16	il	il	1
17	padre	padre	1
18	se	se	1
19	ne	ne	1
20	mangia	mangia	1
21	assai	assai	1
22	io	io	1
23	so	so	1
24	_	con	0
25	_	due	0
26	il	il	1
27	padre	padre	1
28	va	va	1
29	e	e	1
30	_	ne	0
31	_	mangia	0
32	ne	ne	1
33	mangia	mangia	1
34	una	una	1
35	scotella	scotella	1
36	di	di	1
37	insalata	insalata	1
38	_	ah	0
39	con	con	1
40	due	due	1
41	vasetti	vasetti	1
42	del	del	1
43	pesto	pesto	1
44	quello	quello	1
45	la	_	0
46	_	là	0
47	barilla	barilla	1
48	_	rico-	0
49	_	eh	0
50	_	ma	0
51	_	grazie	0
52	_	settecento	0
53	_	grammi	0
54	_	di	0
55	_	pasta	0
56	ricotta	ricotta	1
57	e	e	1
58	noci	noci	1
59	non	non	1
60	contenta	contenta	1
61	_	{P}	0
62	il	il	1
63	fiordilatte	fiordilatte	1
64	dentro	dentro	1
65	non	non	1
66	contenta	contenta	1
67	_	{P}	0
68	i	_	0
69	_	il	0
70	parmigiano	parmigiano	1
71	sopra	sopra	1
72	e	e	1
73	lo	lo	1
74	stona	_	0
75	_	scono	0
76	no	_	0
77	_	non	0
78	contento	contento	1
79	mi	mi	1
80	ha	ha	1
81	detto	detto	1
82	_	eh	0
83	se	se	1
84	_	c'	0
85	c'avevo	_	0
86	_	avevo	0
87	li	_	0
88	_	gli	0
89	non	_	0
90	_	x	0
91	ci	ci	1
92	mettevo	mettevo	1
93	pure	pure	1
94	le	le	1
95	noci	noci	1
96	sopra	sopra	1
97	no	no	1
98	_	bravo	0
99	che	che	1
100	bravo	bravo	1
101	ma	ma	1
102	mi	mi	1
103	piacevano	piacevano	1
104	tanto	tanto	1
105	quelle	quelle	1
106	zucchine	zucchine	1
107	le	le	1
108	avete	avete	1
109	mangiate	mangiate	1
110	tutte	tutte	1
111	sorry	sorry	1
112	_	{P}	0
113	te	te	1
114	le	le	1
115	rifaccio	rifaccio	1
116	prima	prima	1
117	che	che	1
118	te	te	1
119	ne	ne	1
120	vai	vai	1
121	_	mhmh	0
122	_	{ride}	0
123	ma	ma	1
124	che	che	1
125	te	te	1
126	ne	ne	1
127	vai	vai	1
128	_	mh	0
129	dove	_	0
130	_	ti	0
131	che	_	0
132	_	piace	0
133	va	_	0
134	_	andar	0
135	via	via	1
136	sai	sai	1
137	che	che	1
138	possiamo	possiamo	1
139	fare	fare	1
140	_	ah	0
141	con	con	1
142	questo	_	0
143	zucchino	_	0
144	_	questa	0
145	una	_	0
146	_	zucchina	0
147	gigante	gigante	1
148	che	che	1
149	tengo	tengo	1
150	la	la	1
151	vogliamo	vogliamo	1
152	rostire	_	0
153	_	arrostire	0
154	adesso	adesso	1
155	tipo	tipo	1
156	se	_	0
157	_	cioè	0
158	non	non	1
159	ce	ce	1
160	la	la	1
161	mangiamo	mangiamo	1
162	adesso	adesso	1
163	però	però	1
164	_	{P}	0
165	lo	lo	1
166	facciamo	facciamo	1
167	per	per	1
168	domani	domani	1
169	non	non	1
170	è	è	1
171	va	va	1
172	bene	bene	1
173	ma	ma	1
174	perché	perché	1
175	la	la	1
176	zucchinona	zucchinona	1
177	_	non	0
178	la	_	0
179	_	l'	0
180	avevi	avevi	1
181	già	già	1
182	fatta	fatta	1
183	no	no	1
184	erano	erano	1
185	due	due	1
186	_	zucchinone	0
187	_	lo	0
188	zucchinone	zucchinone	1
189	una	una	1
190	_	l'	0
191	l'ho	_	0
192	_	ho	0
193	fatta	fatta	1
194	_	l'	0
195	_	altra	0
196	l'altra	_	0
197	_	mh	0
198	eh	eh	1
