0	per	per	1
1	4	_	0
2	_	quattro	0
3	no	_	0
4	_	non	0
5	un	_	0
6	_	uno	0
7	chilo	chilo	1
8	e	_	0
9	700	_	0
10	_	settecento	0
11	grammi	grammi	1
12	di	di	1
13	pasta	pasta	1
14	eh	_	0
15	_	e	0
16	vabbè	_	0
17	_	vabbé	0
18	perché	_	0
19	_	ma	0
20	quello	quello	1
21	_	è	0
22	il	il	1
23	padre	padre	1
24	se	_	0
25	_	sai	0
26	ne	_	0
27	_	mando	0
28	mangia	_	0
29	_	sta	0
30	assai	_	0
31	_	so	0
32	io	_	0
33	_	con	0
34	so	_	0
35	_	quell-	0
36	il	il	1
37	padre	padre	1
38	va	_	0
39	_	man-	0
40	e	_	0
41	_	mangia	0
42	ne	ne	1
43	mangia	mangia	1
44	una	una	1
45	scotella	_	0
46	_	scodella	0
47	di	di	1
48	insalata	insalata	1
49	_	ah	0
50	con	con	1
51	due	due	1
52	vasetti	vasetti	1
53	del	del	1
54	pesto	pesto	1
55	quello	quello	1
56	la	_	0
57	_	là	0
58	barilla	barilla	1
59	_	vabbé	0
60	_	tanto	0
61	_	e	0
62	_	t-t-	0
63	_	tutti	0
64	_	e	0
65	_	due	0
66	_	programmi	0
67	_	di	0
68	_	pasta	0
69	_	e	0
70	_	poi	0
71	ricotta	_	0
72	_	ricotte	0
73	e	e	1
74	noci	_	0
75	_	noci'	0
76	non	non	1
77	contenta	contenta	1
78	il	il	1
79	_	fior	0
80	_	di	0
81	fiordilatte	_	0
82	_	latte	0
83	dentro	dentro	1
84	non	non	1
85	contenta	contenta	1
86	i	_	0
87	_	il	0
88	parmigiano	parmigiano	1
89	sopra	sopra	1
90	e	e	1
91	lo	_	0
92	stona	_	0
93	no	_	0
94	_	non	0
95	contento	_	0
96	_	stono	0
97	mi	_	0
98	_	non	0
99	ha	_	0
100	_	contenta	0
101	detto	_	0
102	_	per	0
103	se	_	0
104	_	tutta	0
105	c'avevo	_	0
106	_	la	0
107	li	_	0
108	_	sessione	0
109	non	_	0
110	_	uagliò	0
111	ci	ci	1
112	mettevo	_	0
113	_	metto	0
114	pure	pure	1
115	le	le	1
116	noci	noci	1
117	sopra	sopra	1
118	_	no	0
119	no	no	1
120	che	_	0
121	_	ti	0
122	bravo	_	0
123	_	prego	0
124	ma	_	0
125	_	qua	0
126	mi	mi	1
127	piacevano	piacevano	1
128	tanto	tanto	1
129	quelle	quelle	1
130	zucchine	zucchine	1
131	le	le	1
132	avete	avete	1
133	mangiate	mangiate	1
134	tutte	tutte	1
135	_	mh	0
136	sorry	sorry	1
137	te	te	1
138	le	le	1
139	rifaccio	rifaccio	1
140	prima	prima	1
141	che	che	1
142	te	te	1
143	ne	ne	1
144	vai	vai	1
145	_	eh	0
146	ma	ma	1
147	che	che	1
148	te	te	1
149	ne	ne	1
150	vai	vai	1
151	_	mh	0
152	_	è	0
153	dove	_	0
154	_	lei	0
155	che	che	1
156	va	va	1
157	via	via	1
158	sai	sai	1
159	che	che	1
160	possiamo	possiamo	1
161	fare	fare	1
162	con	_	0
163	_	no	0
164	questo	_	0
165	_	comunque	0
166	zucchino	_	0
167	_	le	0
168	una	_	0
169	_	zucchine	0
170	gigante	_	0
171	_	raggixxx	0
172	che	che	1
173	tengo	tengo	1
174	la	_	0
175	_	le	0
176	vogliamo	vogliamo	1
177	rostire	_	0
178	_	arrostire	0
179	adesso	adesso	1
180	tipo	tipo	1
181	se	_	0
182	_	cioé	0
183	non	non	1
184	ce	ce	1
185	la	_	0
186	_	le	0
187	mangiamo	mangiamo	1
188	adesso	adesso	1
189	però	però	1
190	lo	_	0
191	_	le	0
192	facciamo	facciamo	1
193	per	per	1
194	domani	domani	1
195	non	_	0
196	è	_	0
197	_	dai	0
198	va	va	1
199	bene	bene	1
200	ma	ma	1
201	perché	perché	1
202	la	la	1
203	_	zucchina	0
204	_	non-	0
205	zucchinona	_	0
