0	va	_	0
1	be'	_	0
2	_	vabbé	0
3	era	era	1
4	leggera	leggera	1
5	però	però	1
6	no	_	0
7	_	alla	0
8	no	_	0
9	_	fi-	0
10	no	_	0
11	_	nonono	0
12	è	è	1
13	vero	vero	1
14	_	sì	0
15	_	{P}	0
16	non	non	1
17	era	era	1
18	pesantissima	pesantissima	1
19	per	per	1
20	niente	niente	1
21	_	ha-	0
22	l'unica	_	0
23	_	unica	0
24	cosa	cosa	1
25	ho	ho	1
26	esagerato	esagerato	1
27	un	un	1
28	po'	po'	1
29	con	con	1
30	_	l'	0
31	l'olio	_	0
32	_	olio	0
33	forse	forse	1
34	_	però	0
35	ma	ma	1
36	_	nell'	0
37	nell'impasto	_	0
38	_	impasto	0
39	no	no	1
40	fuori	fuori	1
41	fuori	fuori	1
42	_	{P}	0
43	_	nell'	0
44	_	impasto	0
45	nell'impasto	_	0
46	_	ce	0
47	ci	_	0
48	_	ne	0
49	l'ho	_	0
50	_	ho	0
51	messo	messo	1
52	il	il	1
53	giusto	giusto	1
54	però	però	1
55	in	in	1
56	padella	padella	1
57	_	nella	0
58	mi	_	0
59	_	padella	0
60	che	_	0
61	_	x	0
62	ha	ha	1
63	detto	detto	1
64	metti	metti	1
65	_	quello	0
66	_	là	0
67	_	l'	0
68	l'olio	_	0
69	_	olio	0
70	da	da	1
71	friggere	friggere	1
72	così	così	1
73	vengono	vengono	1
74	meglio	meglio	1
75	ho	ho	1
76	detto	detto	1
77	ok	ok	1
78	_	{P}	0
79	e	e	1
80	ho	ho	1
81	fatto	fatto	1
82	però	però	1
83	praticamente	praticamente	1
84	_	ho	0
85	_	f	0
86	_	pure	0
87	ho	ho	1
88	messo	messo	1
89	tutto	tutto	1
90	il	il	1
91	fondo	fondo	1
92	della	della	1
93	padella	padella	1
94	era	era	1
95	pieno	pieno	1
96	di	di	1
97	olio	olio	1
98	io	_	0
99	_	o	0
100	volevo	volevo	1
101	mettere	_	0
102	_	metterne	0
103	un	un	1
104	filo	filo	1
105	_	sai	0
106	per	per	1
107	farle	farle	1
108	venire	venire	1
109	mezzi	mezzi	1
110	tra	tra	1
111	_	{P}	0
112	_	cioè	0
113	cotti	cotti	1
114	nella	nella	1
115	padella	padella	1
116	unta	unta	1
117	invece	invece	1
118	_	{P}	0
119	i	i	1
120	primi	primi	1
121	sono	sono	1
122	venuti	venuti	1
123	un	un	1
124	po'	po'	1
125	deep	deep	1
126	fried	fried	1
127	quasi	quasi	1
128	_	{ride}	0
129	_	fritti	0
130	beh	beh	1
131	oggi	oggi	1
132	abbiamo	abbiamo	1
133	fatto	fatto	1
134	colazione	colazione	1
135	_	co	0
136	con	_	0
137	_	pa-	0
138	pancake	pancake	1
139	con	con	1
140	nutella	nutella	1
141	è	è	1
142	rimasto	rimasto	1
143	un	un	1
144	altro	altro	1
145	pancake	pancake	1
146	se	se	1
147	vuoi	vuoi	1
148	_	u	0
149	_	ma	0
150	_	x	0
151	mangi	_	0
152	_	mangiati	0
153	tu	tu	1
154	il	il	1
155	pancake	pancake	1
156	_	che	0
157	_	io	0
158	mangi	_	0
159	_	mangio	0
160	il	il	1
161	gelato	gelato	1
162	_	che	0
163	_	ne	0
164	_	dici	0
165	_	{ride}	0
166	venedì	_	0
167	_	x	0
168	non	_	0
169	_	sto	0
170	è	_	0
171	_	pancake	0
172	vero	_	0
173	_	stronzo	0
174	poi	poi	1
175	è	è	1
176	rimasto	_	0
177	_	rimas-	0
178	poi	poi	1
179	abbiamo	abbiamo	1
180	mangiato	mangiato	1
181	_	{P}	0
182	_	x	0
183	_	dalla	0
184	_	nonna	0
185	_	io	0
186	_	a	0
187	_	pranzo	0
188	_	ho	0
189	_	esagerato	0
190	_	quattro	0
191	l'armonia	_	0
192	_	gelati	0
193	4	_	0
194	_	s'	0
195	gelate	_	0
196	_	è	0
197	si	_	0
198	_	mangiato	0
199	sono	_	0
200	_	sto	0
201	mangiate	_	0
202	_	puorc#	0
203	su	_	0
204	_	quattro	0
205	questo	_	0
206	_	gelati	0
207	4	_	0
208	_	dai	0
209	gelate	_	0
210	_	{P}	0
211	non	non	1
212	è	è	1
213	_	ve-	0
214	_	a	0
215	_	me	0
216	_	a	0
217	_	pa-	0
218	_	a	0
219	_	parte	0
220	_	il	0
221	vero	_	0
222	_	fatto	0
223	poi	_	0
224	_	che	0
225	abbiamo	abbiamo	1
226	fatto	_	0
227	_	mangiato	0
228	la	la	1
229	stessa	stessa	1
230	quantità	_	0
231	_	quantita	0
232	di	di	1
233	gelato	gelato	1
234	tu	tu	1
235	ne	ne	1
236	hai	hai	1
237	mangiati	mangiati	1
238	di	di	1
239	più	più	1
240	no	no	1
241	roberto	roberto	1
242	hai	hai	1
243	mangiato	mangiato	1
244	il	il	1
245	pan	pan	1
246	di	di	1
247	stelle	stelle	1
248	hai	hai	1
249	mangiato	mangiato	1
250	quello	quello	1
251	al	al	1
252	caramello	caramello	1
253	_	e	0
254	ne	ne	1
255	hai	hai	1
256	mangiato	mangiato	1
257	un	un	1
258	altro	altro	1
259	no	no	1
260	non	non	1
261	l'ho	_	0
262	_	ho	0
263	mangiato	mangiato	1
264	un	un	1
265	altro	altro	1
266	_	{P}	0
267	_	ho	0
268	_	ma-	0
269	_	spe-	0
270	perché	perché	1
271	non	non	1
272	_	aveva	0
273	abbiamo	_	0
274	_	comprato	0
275	mangiato	_	0
276	_	quello	0
277	quelli	_	0
278	_	ai	0
279	pan	pan	1
280	di	di	1
281	stelle	stelle	1
282	che	che	1
283	erano	erano	1
284	buoni	buoni	1
285	_	vabbé	0
286	_	sei	0
287	_	un	0
288	_	maiale	0
289	_	hai	0
290	_	mangiato	0
291	_	sì	0
292	si	_	0
293	_	e	0
294	pura	_	0
295	_	pure	0
296	tu	tu	1
297	sei	sei	1
298	un	un	1
299	maiale	maiale	1
300	però	però	1
301	_	ti	0
302	_	sto	0
303	_	dicendo	0
304	hai	hai	1
305	mangiato	mangiato	1
306	un	_	0
307	po'	_	0
