0	_	mh	0
1	_	negli	0
2	_	ultimi	0
3	_	anni	0
4	_	secondo	0
5	_	me	0
6	_	è	0
7	_	aum-	0
8	infatti	infatti	1
9	il	il	1
10	fatto	fatto	1
11	che	che	1
12	ha	_	0
13	_	è	0
14	aumentato	aumentato	1
15	il	il	1
16	turismo	turismo	1
17	ha	ha	1
18	impattato	impattato	1
19	molto	molto	1
20	_	anche	0
21	_	quello	0
22	_	con	0
23	_	gli	0
24	_	affitti	0
25	_	e	0
26	a	_	0
27	_	può	0
28	tutti	_	0
29	_	essere	0
30	e'	_	0
31	_	è	0
32	vero	vero	1
33	è	è	1
34	vero	vero	1
35	perché	perché	1
36	dicevano	_	0
37	_	insomma	0
38	che	_	0
39	_	qui	0
40	molte	molte	1
41	persone	persone	1
42	molti	molti	1
43	proprietari	_	0
44	_	prorietari	0
45	hanno	hanno	1
46	messo	messo	1
47	le	le	1
48	case	case	1
49	su	su	1
50	_	airbeb	0
51	airbnb	_	0
52	_	per	0
53	per	per	1
54	il	il	1
55	turismo	turismo	1
56	_	mh	0
57	_	mh	0
58	e	e	1
59	tutte	tutte	1
60	queste	queste	1
61	case	case	1
62	sono	sono	1
63	state	state	1
64	tolte	tolte	1
65	dal	dal	1
66	mercato	mercato	1
67	della	della	1
68	gente	gente	1
69	che	che	1
70	ci	ci	1
71	deve	deve	1
72	vivere	vivere	1
73	_	insomma	0
74	_	mh	0
75	_	mh	0
76	_	{P}	0
77	e'	_	0
78	_	è	0
79	vero	vero	1
80	quindi	quindi	1
81	sicuramente	sicuramente	1
82	il	il	1
83	turismo	turismo	1
84	ha	ha	1
85	influito	influito	1
86	anche	anche	1
87	_	su	0
88	_	questo	0
89	su	su	1
90	questa	questa	1
91	cosa	cosa	1
92	qua	qua	1
93	però	però	1
94	_	{P}	0
95	capisco	capisco	1
96	anche	anche	1
97	che	che	1
98	_	vogliano	0
99	_	x	0
100	_	incentivare	0
101	_	il	0
102	_	turismo	0
103	vogliono	_	0
104	_	{ride}	0
105	eh	eh	1
106	sì	sì	1
107	anche	anche	1
108	_	loro	0
109	_	sì	0
110	_	sì	0
111	_	sì	0
112	il	_	0
113	_	però	0
114	turismo	_	0
115	_	e	0
116	e	e	1
117	invece	invece	1
118	per	per	1
119	il	il	1
120	quanto	quanto	1
121	riguarda	riguarda	1
122	il	il	1
123	lavoro	lavoro	1
124	pensi	pensi	1
125	che	_	0
126	sia	sia	1
127	un	un	1
128	buon	buon	1
129	posto	posto	1
130	in	in	1
131	cui	cui	1
132	lavorare	lavorare	1
133	cioè	cioè	1
134	_	s-	0
135	secondo	secondo	1
136	te	te	1
137	si	si	1
138	trova	trova	1
139	lavoro	lavoro	1
140	ah	ah	1
141	ok	_	0
142	_	okay	0
143	come	come	1
144	sì	sì	1
145	no	_	0
146	_	a	0
147	bologna	bologna	1
148	sicuramente	sicuramente	1
149	secondo	secondo	1
150	me	me	1
151	ha	ha	1
152	molte	molte	1
153	opportunità	opportunità	1
154	lavorative	lavorative	1
155	_	{P}	0
156	_	mh	0
157	rispetto	rispetto	1
158	_	a	0
159	_	mh	0
160	ad	ad	1
161	esempio	esempio	1
162	a	_	0
163	fornì	_	0
164	_	forlì	0
165	da	_	0
166	_	e	0
167	supernano	_	0
168	_	supponiamo	0
169	fornì	_	0
170	_	forlì	0
171	come	come	1
172	riferimento	riferimento	1
173	però	però	1
174	_	mh	0
175	_	mh	0
176	_	c'	0
177	c'è	_	0
178	_	è	0
179	sicuramente	sicuramente	1
180	molta	molta	1
181	più	più	1
182	offerta	offerta	1
