whisper	human	match	error
persone	persone	1	
che	che	1	
magari	magari	1	
poi	_	0	ADD
voi	_	0	ADD
_	prima	0	MISS
avete	_	0	flessione
_	avevi	0	flessione
incontrato	incontrato	1	
_	un	0	MISS
_	po'	0	MISS
_	mh	0	MISS
_	bah	0	grafia
_	eh	0	MISS
_	ci	0	MISS
beh	_	0	grafia
_	son-	0	interrupted
è	è	1	
sempre	sempre	1	
pieno	pieno	1	
di	di	1	
persone	persone	1	
che	che	1	
fanno	fanno	1	
le	_	0	parola sconosciuta
_	elemosina	0	parola sconosciuta
emosine	_	0	parola sconosciuta
_	sotto	0	MISS
sulle	_	0	ADD
_	i	0	MISS
portici	portici	1	
_	mhmh	0	MISS
soprattutto	soprattutto	1	
se	_	0	approssimazione
vieni	_	0	nome proprio sconosciuto
_	su	0	approssimazione
in	_	0	nome proprio sconosciuto
_	via	0	nome proprio sconosciuto
pendenza	_	0	nome proprio sconosciuto
_	indipendenza	0	nome proprio sconosciuto
ce	ce	1	
ne	ne	1	
sono	sono	1	
diversi	diversi	1	
_	seriamente	0	MISS
anche	anche	1	
sotto	sotto	1	
i	i	1	
portici	portici	1	
di	di	1	
via	via	1	
_	in	0	MISS
_	viale	0	nome proprio sconosciuto
le	_	0	nome proprio sconosciuto
_	mh	0	MISS
masini	masini	1	nome proprio sconosciuto
perché	perché	1	
io	io	1	
passo	passo	1	
spesso	spesso	1	
di	di	1	
lì	lì	1	
_	eh	0	MISS
però	però	1	
a	a	1	
parte	parte	1	
insomma	_	0	ADD
_	sono	0	MISS
persone	persone	1	
_	{P}	0	nonverbal
che	che	1	
fanno	fanno	1	
_	l'	0	parola sconosciuta
_	elemosina	0	parola sconosciuta
_	sì	0	MISS
le	_	0	parola sconosciuta
_	mhmh	0	MISS
emosine	_	0	parola sconosciuta
_	mh	0	MISS
si	_	0	ADD
_	ah	0	MISS
incontri	incontri	1	
anche	anche	1	
_	a	0	MISS
molte	_	0	approssimazione
_	volte	0	approssimazione
persone	persone	1	
che	che	1	
ti	ti	1	
fermano	fermano	1	
per	per	1	
_	sì	0	MISS
_	{ride}	0	nonverbal
_	x	0	unintelligible
_	di	0	MISS
fare	fare	1	
_	beneficienza	0	parola sconosciuta
_	{ride}	0	nonverbal
_	esatto	0	MISS
veneficienza	_	0	parola sconosciuta
_	{ride}	0	nonverbal
le	le	1	
classiche	classiche	1	
persone	persone	1	
che	che	1	
sono	sono	1	
sotto	sotto	1	
i	i	1	
portici	portici	1	
_	eh	0	MISS
a	a	1	
volte	volte	1	
_	{P}	0	nonverbal
persone	persone	1	
famose	famose	1	
di	_	0	ADD
_	ogni	0	MISS
tanto	tanto	1	
_	una	0	MISS
_	volta	0	MISS
hanno	_	0	flessione
_	ho	0	flessione
incontrato	incontrato	1	
piff	_	0	nome proprio sconosciuto
_	pif	0	nome proprio sconosciuto
ad	ad	1	
esempio	esempio	1	
_	ah	0	MISS
_	si	0	typo
_	si	0	typo
_	si	0	typo
sì	_	0	typo
_	eh	0	MISS
sì	_	0	typo
_	si	0	MISS
sì	_	0	typo
_	che	0	MISS
in	_	0	ADD
_	era	0	MISS
un	un	1	
hotel	hotel	1	
che	che	1	
è	è	1	
lì	lì	1	
su	su	1	
di	_	0	ADD
_	via	0	nome proprio sconosciuto
indipendenti	_	0	nome proprio sconosciuto
_	indipendenza	0	nome proprio sconosciuto
anche	anche	1	
i	_	0	nome proprio sconosciuto
cremonini	cremonini	1	nome proprio sconosciuto
dicono	dicono	1	
che	che	1	
_	sia	0	approssimazione
_	spetto	0	approssimazione
si	_	0	approssimazione
_	dopo	0	approssimazione
aspettano	_	0	approssimazione
_	sia??	0	MISS
eh	eh	1	
non	non	1	
_	l'	0	MISS
ho	ho	1	
ancora	ancora	1	
incontrato	incontrato	1	
i	_	0	nome proprio sconosciuto
cremonini	cremonini	1	nome proprio sconosciuto
_	{ride}	0	nonverbal
_	neanche	0	MISS
_	io	0	MISS
_	mai	0	MISS
però	però	1	
_	ho	0	MISS
_	detto	0	MISS
anche	_	0	ADD
_	sì	0	MISS
tre	tre	1	
anni	anni	1	
perché	perché	1	
io	io	1	
_	ci	0	MISS
_	andavo	0	MISS
_	nel	0	MISS
_	duemila	0	typo
sono	_	0	ADD
_	diciotto	0	typo
da	_	0	ADD
_	diciannove	0	MISS
2018	_	0	typo
_	sì	0	MISS
tre	tre	1	
anni	anni	1	
che	che	1	
sono	sono	1	
lì	lì	1	
non	non	1	
ho	ho	1	
ancora	ancora	1	
incontrato	_	0	ADD
_	x	0	unintelligible
i	_	0	nome proprio sconosciuto
_	quindi	0	MISS
cremonini	_	0	nome proprio sconosciuto
_	{ride}	0	nonverbal
beh	_	0	grafia
_	vabbé	0	grafia
magari	magari	1	
_	dai	0	MISS
_	quest'	1	
_	anno	1	
_	sarà	0	approssimazione
da	_	0	ADD
_	{ride}	0	nonverbal
quest'anno	_	1	
_	l'	0	approssimazione
saranno	_	0	approssimazione
_	anno	0	approssimazione
buono	buono	1	
_	ah	0	MISS
_	sì	0	MISS
_	chissà	0	MISS
_	allora	0	MISS
_	perfetto	0	MISS
e	e	1	
anche	anche	1	
_	mh	0	MISS
_	{P}	0	nonverbal
per	per	1	
il	il	1	
fatto	fatto	1	
che	che	1	
hanno	hanno	1	
messo	messo	1	
le	le	1	
luci	luci	1	
con	con	1	
le	le	1	
scritte	scritte	1	
delle	delle	1	
canzoni	canzoni	1	
cosa	cosa	1	
ne	ne	1	
pensi	pensi	1	
_	ah	0	MISS
_	bello	0	MISS
quello	quello	1	
mi	mi	1	
è	è	1	
piaciuto	piaciuto	1	
molto	molto	1	
sì	_	0	typo
_	si	0	typo
sì	_	0	typo
_	si	0	typo
quello	quello	1	
si	_	0	approssimazione
_	ci	0	approssimazione
stava	stava	1	
secondo	secondo	1	
me	me	1	
anche	_	0	approssimazione
_	perché	0	approssimazione
che	_	0	typo
_	ghe	0	typo
la	_	0	approssimazione
_	dai	0	approssimazione
cremonini	cremonini	1	
comunque	comunque	1	
è	è	1	
il	il	1	
cantante	cantante	1	
di	di	1	
_	bolo-	0	nome proprio sconosciuto
bro	_	0	nome proprio sconosciuto
_	cioè	0	MISS
a	a	1	
parte	parte	1	
lucio	lucio	1	
dalla	dalla	1	
ovviamente	ovviamente	1	
_	però	0	MISS
_	bello	0	MISS
_	sì	0	MISS
che	che	1	
poi	poi	1	
hanno	hanno	1	
messo	messo	1	
anche	anche	1	
le	le	1	
sue	sue	1	
il	_	0	ADD
fatto	_	0	ADD
_	e	0	MISS
che	_	0	ADD
_	infatti	0	MISS
poi	poi	1	
_	hanno	0	MISS
_	messo	0	MISS
hanno	hanno	1	
messo	messo	1	
anche	anche	1	
le	le	1	
sue	sue	1	
_	si	0	MISS
_	si	0	MISS
_	eh	0	MISS
però	però	1	
ci	ci	1	
sa	_	0	approssimazione
_	sta	0	approssimazione
il	_	0	ADD
_	eh	0	MISS
cantante	cantante	1	
moderno	moderno	1	
diciamo	diciamo	1	
più	più	1	
bolognese	_	0	ADD
_	mhmh	0	MISS
