0	bene	bene	1
1	allora	allora	1
2	intanto	intanto	1
3	ero	ero	1
4	curiosa	curiosa	1
5	di	di	1
6	sapere	sapere	1
7	da	da	1
8	quanto	quanto	1
9	tempo	tempo	1
10	_	c'	0
11	c'è	_	0
12	_	è	0
13	questo	questo	1
14	negozio	negozio	1
15	perché	perché	1
16	io	io	1
17	sono	sono	1
18	di	di	1
19	qui	qui	1
20	e	e	1
21	frequento	frequento	1
22	un	un	1
23	po'	po'	1
24	questa	questa	1
25	zona	zona	1
26	ma	ma	1
27	non	non	1
28	_	l'	0
29	l'avevo	_	0
30	_	avevo	0
31	mai	mai	1
32	visto	visto	1
33	no	no	1
34	non	non	1
35	è	è	1
36	così	così	1
37	stranamente	stranamente	1
38	questo	questo	1
39	negozio	negozio	1
40	è	è	1
41	già	già	1
42	da	da	1
43	22	_	0
44	_	ventidue	0
45	anni	anni	1
46	ok	_	0
47	_	okay	0
48	quindi	quindi	1
49	non	non	1
50	è	è	1
51	nuovo	nuovo	1
52	sono	sono	1
53	qui	qui	1
54	da	da	1
55	6	_	0
56	_	sei	0
57	anni	anni	1
58	no	no	1
59	no	no	1
60	no	no	1
61	questo	questo	1
62	qua	qua	1
63	non	non	1
64	è	è	1
65	nuovo	nuovo	1
66	di	di	1
67	prima	prima	1
68	era	era	1
69	una	una	1
70	casa	_	0
71	d'autrice	_	0
72	vaisi	_	0
73	_	nomenegozio	0
74	poi	poi	1
75	hanno	hanno	1
76	chiuso	chiuso	1
77	allora	allora	1
78	già	già	1
79	comprato	comprato	1
80	_	un'	0
81	un'altra	_	0
82	_	altra	0
83	persona	persona	1
84	e	e	1
85	è	è	1
86	fatta	fatta	1
87	copisteria	copisteria	1
88	ok	_	0
89	_	okay	0
90	poi	poi	1
91	io	io	1
92	sono	sono	1
93	da	da	1
94	terza	terza	1
95	mano	mano	1
96	che	che	1
97	_	i-	0
98	andando	andando	1
99	avanti	avanti	1
100	_	mhmh	0
101	_	okay	0
102	ok	_	0
103	_	mh	0
104	noi	noi	1
105	siamo	siamo	1
106	venuti	venuti	1
107	qui	qui	1
108	a	a	1
109	chiedere	chiedere	1
110	a	a	1
111	te	te	1
112	la	la	1
113	disponibilità	disponibilità	1
114	perché	perché	1
115	_	il-	0
116	_	l-	0
117	la	la	1
118	verità	verità	1
119	è	è	1
120	che	che	1
121	siamo	siamo	1
122	andati	andati	1
123	alla	alla	1
124	copisteria	copisteria	1
125	di	di	1
126	via	_	0
127	del	_	0
128	_	nomeluogo	0
129	guasto	_	0
130	_	sì	0
131	a	a	1
132	chiedere	chiedere	1
133	_	mhmh	0
134	e	e	1
135	i	i	1
136	ragazzi	ragazzi	1
137	ci	ci	1
138	hanno	hanno	1
139	detto	detto	1
140	che	che	1
141	dovremmo	_	0
142	_	dovevamo	0
143	assolutamente	assolutamente	1
144	venire	venire	1
145	da	da	1
146	te	te	1
147	beh	beh	1
148	_	eh	0
149	sì	sì	1
150	perché	perché	1
151	loro	loro	1
152	_	non	0
153	_	è	0
154	non	non	1
155	è	è	1
156	_	mh	0
157	abbastanza	_	0
158	_	abbas-	0
159	cioè	cioè	1
160	loro	loro	1
161	non	non	1
162	_	mh	0
163	loro	loro	1
164	sono	sono	1
165	bravi	bravi	1
166	ma	ma	1
167	non	non	1
168	sono	sono	1
169	bravi	bravi	1
170	per	per	1
171	rispondere	rispondere	1
172	a	a	1
173	un	un	1
174	sacco	sacco	1
175	di	di	1
176	domande	domande	1
177	che	che	1
178	anche	anche	1
179	non	non	1
180	sono	sono	1
181	bravi	bravi	1
182	in	in	1
183	italiano	italiano	1
184	_	pro-	0
185	proprio	_	0
186	_	in	0
187	per	_	0
188	_	poche	0
189	parole	parole	1
190	_	sì	0
191	_	mh	0
192	ok	_	0
193	_	okay	0
194	quindi	quindi	1
195	_	forse	0
196	forse	forse	1
197	il	il	1
198	problema	problema	1
199	era	era	1
200	quello	quello	1
201	_	non	0
202	non	non	1
203	abbiamo	abbiamo	1
204	capito	capito	1
205	se	se	1
206	erano	erano	1
207	preoccupati	preoccupati	1
208	perché	perché	1
209	_	sì	0
210	no	no	1
211	non	non	1
212	sono	_	0
213	_	so-	0
214	non	non	1
215	è	è	1
216	preoccupati	preoccupati	1
217	però	però	1
218	_	eh	0
219	lo	lo	1
220	sai	sai	1
221	che	che	1
222	quando	quando	1
223	qualcuno	qualcuno	1
224	che	che	1
225	_	mh	0
226	non	non	1
227	capisce	capisce	1
228	cosa	cosa	1
229	è	è	1
230	la	la	1
231	domanda	domanda	1
232	_	mhmh	0
233	e	e	1
234	quale	quale	1
235	che	che	1
236	è	è	1
237	la	la	1
238	_	ri-	0
239	risposta	risposta	1
240	che	che	1
241	sta	sta	1
242	facendo	facendo	1
243	in	in	1
244	_	un'	0
245	un'altra	_	0
246	_	altra	0
247	lingua	lingua	1
248	che	che	1
249	lui	lui	1
250	non	non	1
251	è	è	1
252	abbastanza	abbastanza	1
253	_	brava	0
254	_	mhmh	0
255	allora	allora	1
256	è	è	1
257	un	_	0
258	_	una	0
259	problema	problema	1
260	_	per-	0
261	perciò	_	0
262	_	{P}	0
263	che	_	0
264	_	per	0
265	è	_	0
266	_	cioè	0
267	una	una	1
268	persona	persona	1
269	no	no	1
270	_	mhmh	0
271	_	mhmh	0
272	_	mhmh	0
273	sì	sì	1
274	_	forse	0
275	_	cioè	0
276	_	ecco	0
277	_	perciò	0
278	_	che	0
279	_	x	0
280	forse	forse	1
281	è	è	1
282	stato	stato	1
283	per	per	1
284	quello	quello	1
285	_	sì	0
286	e	e	1
287	stamattina	stamattina	1
288	noi	noi	1
289	siamo	siamo	1
290	andati	_	0
291	_	andate	0
292	in	in	1
293	_	zona	0
294	praticamente	praticamente	1
295	tutti	tutti	1
296	i	i	1
297	negozi	negozi	1
298	di	di	1
299	via	via	1
300	san	san	1
301	vitale	vitale	1
302	_	{P}	0
303	a	a	1
304	chiedere	chiedere	1
305	sì	sì	1
306	nessuno	nessuno	1
307	che	che	1
308	non	non	1
309	ti	ti	1
310	ha	ha	1
311	detto	detto	1
312	che	che	1
313	_	c'	0
314	c'è	_	0
315	_	è	0
316	sì	sì	1
317	perché	perché	1
318	hanno	hanno	1
319	paura	paura	1
320	_	per	0
321	perché	perché	1
322	_	{P}	0
323	_	non	0
324	_	lo	0
325	non	non	1
326	si	si	1
327	sa	sa	1
328	cosa	cosa	1
329	succederà	succederà	1
330	dopo	dopo	1
331	_	mhmh	0
332	_	mh	0
333	infatti	infatti	1
334	sì	sì	1
335	quindi	quindi	1
336	vabbè	vabbè	1
337	ma	ma	1
338	noi	noi	1
339	abbiamo	abbiamo	1
340	provato	provato	1
341	ovviamente	ovviamente	1
342	_	sì	0
343	_	{P}	0
344	assolutamente	assolutamente	1
345	_	ehm	0
346	e	_	0
347	_	ma	0
348	invece	invece	1
349	_	{P}	0
350	tu	tu	1
351	vivi	vivi	1
352	in	in	1
353	italia	italia	1
354	da	da	1
355	sempre	sempre	1
356	da	da	1
357	alcuni	alcuni	1
358	anni	anni	1
359	_	mh	0
360	_	assolutamente	0
361	no	no	1
362	non	non	1
363	è	è	1
364	che	che	1
365	da	da	1
366	sempre	sempre	1
367	sì	sì	1
368	da	da	1
369	circa	circa	1
370	15	_	0
371	_	quindici	0
372	anni	anni	1
373	già	già	1
374	passato	passato	1
375	_	okay	0
376	_	okay	0
377	_	{ride}	0
378	_	che	0
379	_	sono	0
380	_	qui	0
381	beh	beh	1
382	comunque	comunque	1
383	_	eh	0
384	_	parli	0
385	_	beni-	0
386	parli	parli	1
387	benissimo	benissimo	1
388	_	sì	0
389	beh	beh	1
390	15	_	0
391	_	quindici	0
392	anni	anni	1
393	eh	eh	1
394	non	non	1
395	sono	sono	1
396	sì	sì	1
397	è	è	1
398	già	già	1
399	passata	passata	1
400	proprio	proprio	1
401	un	un	1
402	sé	_	0
403	o	_	0
404	_	se-	0
405	più	più	1
406	di	di	1
407	un	un	1
408	secolo	secolo	1
409	_	mh	0
410	ma	ma	1
411	_	{P}	0
412	hai	hai	1
413	studiato	studiato	1
414	da	da	1
415	solo	solo	1
416	_	o	0
417	_	no	0
418	_	cioè	0
419	no	no	1
420	non	non	1
421	è	è	1
422	che	che	1
423	hai	_	0
424	studiato	studiato	1
425	da	da	1
426	solo	solo	1
427	che	che	1
428	ho	ho	1
429	fatto	fatto	1
430	anche	anche	1
431	superiore	superiore	1
432	qui	qui	1
433	ah	ah	1
434	ok	_	0
435	_	okay	0
436	quindi	quindi	1
437	_	sei-	0
438	sei	sei	1
439	giovanissimo	giovanissimo	1
440	_	sì	0
441	sì	sì	1
442	_	{ride}	0
443	_	sei	0
444	giovanissimo	giovanissimo	1
445	perché	perché	1
446	io	io	1
447	_	non	0
448	non	non	1
449	voglio	voglio	1
450	chiedere	chiedere	1
451	che	_	0
452	_	l'	0
453	sta	_	0
454	_	età	0
455	perché	perché	1
456	non	non	1
457	_	giusto	0
458	no	no	1
459	no	no	1
460	assolutamente	assolutamente	1
461	non	_	0
462	deve	_	0
463	_	puoi	0
464	chiedere	chiedere	1
465	_	anche	0
466	però	però	1
467	sei	sei	1
468	andato	andato	1
469	a	a	1
470	scuola	scuola	1
471	qui	qui	1
472	quindi	quindi	1
473	sì	sì	1
474	che	che	1
475	scuola	scuola	1
476	hai	hai	1
477	fatto	fatto	1
478	perché	perché	1
479	_	anch'	0
480	anch'io	_	0
481	_	io	0
482	sono	sono	1
483	andata	andata	1
484	a	a	1
485	scuola	scuola	1
486	qui	qui	1
487	un	un	1
488	po'	po'	1
489	di	di	1
490	anni	anni	1
491	fa	fa	1
492	ma	ma	1
493	esattamente	esattamente	1
494	primo	primo	1
495	eh	eh	1
496	ho	_	0
497	andato	andato	1
498	il	il	1
499	_	mh	0
500	manfredi	_	0
501	_	{P}	0
502	tanari	_	0
503	_	nomescuola	0
504	ok	_	0
505	_	okay	0
506	che	che	1
507	per	per	1
508	la	la	1
509	lingua	lingua	1
510	che	che	1
511	non	non	1
512	ho	_	0
513	riuscito	riuscito	1
514	a	a	1
515	passare	passare	1
516	e	e	1
517	poi	poi	1
518	_	eh	0
519	ci	ci	1
520	avevo	_	0
521	_	hanno	0
522	trasferito	trasferito	1
523	_	{P}	0
524	in	in	1
525	fioravanti	_	0
526	_	nomescuola	0
527	ok	_	0
528	_	okay	0
529	adesso	adesso	1
530	è	è	1
531	_	nomescuola	0
532	vellosi	_	0
533	_	mhmh	0
534	fioravanti	_	0
535	_	e	0
536	no	_	0
537	_	però	0
538	quando	quando	1
539	ero	ero	1
540	fatto	fatto	1
541	_	era	0
542	era	era	1
543	solo	solo	1
544	il	il	1
545	_	nomescuola	0
546	fioravanti	_	0
547	_	mhmh	0
548	ok	_	0
549	_	okay	0
550	e	e	1
551	che	che	1
552	indirizzo	indirizzo	1
553	ha	ha	1
554	che	che	1
555	non	non	1
556	lo	lo	1
557	so	so	1
558	no	no	1
559	era	era	1
560	_	boh	0
561	_	cioè	0
562	adesso	adesso	1
563	mi	mi	1
564	sembrava	sembrava	1
565	di	di	1
566	casalecchio	_	0
567	ok	_	0
568	ok	_	0
569	ok	_	0
570	_	nomeluogo	0
571	vellosi	_	0
572	_	okay	0
573	fioravanti	_	0
574	_	okay	0
575	ok	_	0
576	_	okay	0
577	ok	_	0
578	_	okay	0
579	ok	_	0
580	_	okay	0
581	ho	ho	1
582	capito	capito	1
583	_	il	0
584	_	nomescuola	0
585	_	s-	0
586	e	e	1
587	_	che	0
588	che	che	1
589	cosa	cosa	1
590	si	si	1
591	studia	studia	1
592	_	al	0
593	_	nomescuola	0
594	_	sì	0
595	_	tecnico	0
596	tecnico	tecnico	1
597	tecnico	tecnico	1
598	e	e	1
599	_	di	0
600	_	e-	0
601	elettrica	_	0
602	_	elettrico	0
603	elettronica	elettronica	1
604	_	{P}	0
605	informatica	informatica	1
606	_	professionale	0
607	no	no	1
608	_	eh	0
609	là	là	1
610	ero	_	0
611	_	erava-	0
612	no	no	1
613	_	eh	0
614	sì	sì	1
615	perché	perché	1
616	ci	ci	1
617	sono	sono	1
618	di	di	1
619	informatica	informatica	1
620	_	eh	0
621	meccanica	meccanica	1
622	e	e	1
623	idraulica	idraulica	1
624	con	con	1
625	_	automeccanica	0
626	auto-meccanica	_	0
627	_	mhmh	0
628	ok	_	0
629	_	mhmh	0
630	e	_	0
631	_	okay	0
632	quando	_	0
633	_	è	0
634	hai	_	0
635	_	fatta	0
636	fatto	_	0
637	_	ele-	0
638	cioè	cioè	1
639	auto-meccanico	_	0
640	_	automeccanico	0
641	con	con	1
642	idraulica	idraulica	1
643	_	mhmhmh	0
644	_	{P}	0
645	e	e	1
646	quando	quando	1
647	hai	hai	1
648	finito	finito	1
649	di	di	1
650	studiare	studiare	1
651	sei	sei	1
652	venuto	venuto	1
653	a	a	1
654	lavorare	_	0
655	no	_	0
656	ero	_	0
657	cercato	_	0
658	il	_	0
659	lavoro	_	0
660	che	_	0
661	di	_	0
662	varie	_	0
663	parti	_	0
664	dell'officina	_	0
665	per	_	0
666	oficina	_	0
667	di	_	0
668	auto	_	0
669	assolutamente	_	0
670	non	_	0
671	il	_	0
672	moto	_	0
673	era	_	0
674	officina	_	0
675	di	_	0
676	auto	_	0
677	però	_	0
678	visto	_	0
679	che	_	0
680	il	_	0
681	settore	_	0
682	ci	_	0
683	sono	_	0
684	un	_	0
685	sacco	_	0
686	di	_	0
687	lavoro	_	0
688	però	_	0
689	non	_	0
690	ho	_	0
691	trovato	_	0
692	il	_	0
693	punto	_	0
694	come	_	0
695	ero	_	0
696	cercavo	_	0
697	poi	_	0
698	ho	_	0
699	cercato	_	0
700	d'altra	_	0
701	parte	_	0
702	dove	_	0
703	ho	_	0
704	trovato	_	0
705	c'è	_	0
706	rientrato	_	0
707	perché	_	0
708	in	_	0
709	lavorare	lavorare	1
710	sì	_	0
711	sì	_	0
712	sì	_	0
713	e	_	0
714	quindi	_	0
715	vivere	_	0
716	a	_	0
717	bologna	_	0
718	ti	_	0
719	piace	_	0
720	assolutamente	_	0
721	assolutamente	_	0
722	ma	_	0
723	il	_	0
724	problema	_	0
725	è	_	0
726	che	_	0
727	non	_	0
728	trovi	_	0
729	a	_	0
730	casa	_	0
731	in	_	0
732	bologna	_	0
733	è	_	0
734	una	_	0
735	fondamentale	_	0
736	ce	_	0
737	lo	_	0
738	stanno	_	0
739	dicendo	_	0
740	tu	_	0
741	non	_	0
742	è	_	0
743	che	_	0
744	solo	_	0
745	in	_	0
746	bologna	_	0
747	anche	_	0
748	guarda	_	0
749	che	_	0
750	settimana	_	0
751	di	_	0
752	scorso	_	0
753	ho	_	0
754	visto	_	0
755	un	_	0
756	intervento	_	0
757	da	_	0
758	un	_	0
759	proprio	_	0
760	giornalista	_	0
761	della	_	0
762	firenze	_	0
763	è	_	0
764	lo	_	0
765	stesso	_	0
766	problema	_	0
767	lo	_	0
768	stesso	_	0
769	problema	_	0
770	cioè	_	0
771	poi	_	0
772	bologna	_	0
773	non	_	0
774	è	_	0
775	che	_	0
776	è	_	0
777	iniziato	_	0
778	questo	_	0
779	problema	_	0
780	da	_	0
781	oggi	_	0
782	e	_	0
783	se	_	0
784	tu	_	0
785	parli	_	0
786	se	_	0
787	tu	_	0
788	chiedi	_	0
789	una	_	0
790	persona	_	0
791	anziana	_	0
792	che	_	0
793	è	_	0
794	finita	_	0
795	di	_	0
796	studiare	_	0
797	cioè	_	0
798	come	_	0
799	stranero	_	0
800	come	_	0
801	me	_	0
802	come	_	0
803	stranero	_	0
804	significa	_	0
805	che	_	0
806	sei	_	0
807	venuto	_	0
808	da	_	0
809	un'altra	_	0
810	città	_	0
811	tipo	_	0
812	anche	_	0
813	napoli	_	0
814	è	_	0
815	giù	_	0
816	parliamo	_	0
817	anche	_	0
818	roma	_	0
819	guarda	_	0
820	che	_	0
821	se	_	0
822	chiedi	_	0
823	che	_	0
824	quanti	_	0
825	anni	_	0
826	sei	_	0
827	in	_	0
828	bologna	_	0
829	tra	_	0
830	parentesi	_	0
831	dici	_	0
832	guarda	_	0
833	che	_	0
834	io	_	0
835	ho	_	0
836	laureato	_	0
837	qui	_	0
838	ti	_	0
839	raccolta	_	0
840	la	_	0
841	storia	_	0
842	come	_	0
843	era	_	0
844	prima	_	0
845	e	_	0
846	trattava	_	0
847	come	_	0
848	stranero	_	0
849	cioè	_	0
850	non	_	0
851	dalla	_	0
852	casa	_	0
853	non	_	0
854	c'è	_	0
855	proprio	_	0
856	era	_	0
857	il	_	0
858	bologna	_	0
859	ha	_	0
860	questa	_	0
861	storia	_	0
862	da	_	0
863	storia	_	0
864	c'è	_	0
865	proprio	_	0
866	da	_	0
867	100	_	0
868	anni	_	0
869	mi	_	0
870	sembrava	_	0
871	ancora	_	0
872	più	_	0
873	sì	_	0
874	è	_	0
875	possibile	_	0
876	sì	_	0
877	sì	_	0
878	non	_	0
879	so	_	0
880	se	_	0
881	tu	_	0
882	hai	_	0
883	avuto	_	0
884	problemi	_	0
885	a	_	0
886	trovare	_	0
887	casa	_	0
888	perché	_	0
889	anche	_	0
890	lei	_	0
891	tutti	_	0
892	quanti	_	0
893	guarda	_	0
894	che	_	0
895	un'utile	_	0
896	faile	_	0
897	a	_	0
898	questa	_	0
899	domanda	_	0
900	è	_	0
901	tutti	_	0
902	quanti	_	0
903	tutti	_	0
904	quanti	_	0
905	e	_	0
906	c'è	_	0
907	stato	_	0
908	qualche	_	0
909	che	_	0
910	hanno	_	0
911	soldi	_	0
912	e	_	0
913	compra	_	0
914	appartamento	_	0
915	per	_	0
916	il	_	0
917	fili	_	0
918	per	_	0
919	mandare	_	0
920	in	_	0
